hour,day,value
0,0,55484.0
0,1,49026.0
0,2,49204.0
0,3,50541.0
0,4,50364.0
0,5,47526.0
0,6,49491.0
0,7,45223.0
1,0,46614.0
1,1,37999.0
1,2,35499.0
1,3,35057.0
1,4,36424.0
1,5,34593.0
1,6,38598.0
1,7,38265.0
2,0,30225.0
2,1,23565.0
2,2,21406.0
2,3,20766.0
2,4,22912.0
2,5,21455.0
2,6,23955.0
2,7,24255.0
3,0,18147.0
3,1,14182.0
3,2,12318.0
3,3,13034.0
3,4,12834.0
3,5,12449.0
3,6,14066.0
3,7,14061.0
4,0,10609.0
4,1,8232.0
4,2,7907.0
4,3,7682.0
4,4,7821.0
4,5,7436.0
4,6,8102.0
4,7,8226.0
5,0,6964.0
5,1,6238.0
5,2,6181.0
5,3,6151.0
5,4,6122.0
5,5,5505.0
5,6,5621.0
5,7,6017.0
6,0,8500.0
6,1,8112.0
6,2,8756.0
6,3,8536.0
6,4,8839.0
6,5,8013.0
6,6,7452.0
6,7,7082.0
7,0,9752.0
7,1,11806.0
7,2,13662.0
7,3,13571.0
7,4,13645.0
7,5,13903.0
7,6,12596.0
7,7,9552.0
8,0,13264.0
8,1,16196.0
8,2,18146.0
8,3,20042.0
8,4,17635.0
8,5,20877.0
8,6,17091.0
8,7,12905.0
9,0,19062.0
9,1,20994.0
9,2,22652.0
9,3,22523.0
9,4,23843.0
9,5,23498.0
9,6,23258.0
9,7,19291.0
10,0,27312.0
10,1,25624.0
10,2,24531.0
10,3,27204.0
10,4,27885.0
10,5,26931.0
10,6,26423.0
10,7,25408.0
11,0,32843.0
11,1,31784.0
11,2,28712.0
11,3,30870.0
11,4,31418.0
11,5,31555.0
11,6,32276.0
11,7,32214.0
12,0,36160.0
12,1,33171.0
12,2,31892.0
12,3,31924.0
12,4,33995.0
12,5,31583.0
12,6,34246.0
12,7,34881.0
13,0,38287.0
13,1,39827.0
13,2,36683.0
13,3,35300.0
13,4,37906.0
13,5,37813.0
13,6,36986.0
13,7,36612.0
14,0,38816.0
14,1,41972.0
14,2,36937.0
14,3,38071.0
14,4,38591.0
14,5,38509.0
14,6,37601.0
14,7,38580.0
15,0,36173.0
15,1,38647.0
15,2,36511.0
15,3,36374.0
15,4,39651.0
15,5,38768.0
15,6,31437.0
15,7,35853.0
16,0,35161.0
16,1,34816.0
16,2,35039.0
16,3,34071.0
16,4,34612.0
16,5,35036.0
16,6,35249.0
16,7,34780.0
17,0,34816.0
17,1,36308.0
17,2,34174.0
17,3,32988.0
17,4,33228.0
17,5,33209.0
17,6,43803.0
17,7,38538.0
18,0,35791.0
18,1,37873.0
18,2,38307.0
18,3,34940.0
18,4,33258.0
18,5,35909.0
18,6,38985.0
18,7,36831.0
19,0,39755.0
19,1,43482.0
19,2,40308.0
19,3,38686.0
19,4,37303.0
19,5,38061.0
19,6,35654.0
19,7,23229.0
20,0,41795.0
20,1,47206.0
20,2,43087.0
20,3,48770.0
20,4,40301.0
20,5,44576.0
20,6,37899.0
20,7,271.0
21,0,43198.0
21,1,42952.0
21,2,49022.0
21,3,46014.0
21,4,56650.0
21,5,45001.0
21,6,49700.0
21,7,46103.0
22,0,51845.0
22,1,46530.0
22,2,53666.0
22,3,51530.0
22,4,54328.0
22,5,49431.0
22,6,52792.0
22,7,44324.0
23,0,55685.0
23,1,51279.0
23,2,55177.0
23,3,54232.0
23,4,54172.0
23,5,51558.0
23,6,54071.0
23,7,46482.0
