hour,day,value
1AM,0,253.0
1AM,1,223.0
1AM,2,319.0
1AM,3,246.0
1AM,4,298.0
1AM,5,259.0
1AM,6,233.0
1AM,7,225.0
2AM,0,163.0
2AM,1,140.0
2AM,2,186.0
2AM,3,184.0
2AM,4,239.0
2AM,5,201.0
2AM,6,154.0
2AM,7,169.0
3AM,0,91.0
3AM,1,76.0
3AM,2,107.0
3AM,3,88.0
3AM,4,126.0
3AM,5,125.0
3AM,6,101.0
3AM,7,123.0
4AM,0,81.0
4AM,1,46.0
4AM,2,81.0
4AM,3,44.0
4AM,4,74.0
4AM,5,78.0
4AM,6,59.0
4AM,7,81.0
5AM,0,20.0
5AM,1,24.0
5AM,2,57.0
5AM,3,37.0
5AM,4,43.0
5AM,5,53.0
5AM,6,32.0
5AM,7,36.0
6AM,0,20.0
6AM,1,15.0
6AM,2,43.0
6AM,3,29.0
6AM,4,38.0
6AM,5,28.0
6AM,6,28.0
6AM,7,23.0
7AM,0,32.0
7AM,1,27.0
7AM,2,53.0
7AM,3,31.0
7AM,4,58.0
7AM,5,47.0
7AM,6,18.0
7AM,7,39.0
8AM,0,38.0
8AM,1,47.0
8AM,2,77.0
8AM,3,73.0
8AM,4,99.0
8AM,5,108.0
8AM,6,61.0
8AM,7,50.0
9AM,0,52.0
9AM,1,65.0
9AM,2,124.0
9AM,3,89.0
9AM,4,142.0
9AM,5,109.0
9AM,6,92.0
9AM,7,82.0
10AM,0,61.0
10AM,1,114.0
10AM,2,169.0
10AM,3,124.0
10AM,4,159.0
10AM,5,88.0
10AM,6,107.0
10AM,7,116.0
11AM,0,122.0
11AM,1,152.0
11AM,2,138.0
11AM,3,155.0
11AM,4,158.0
11AM,5,141.0
11AM,6,120.0
11AM,7,153.0
12PM,0,147.0
12PM,1,217.0
12PM,2,229.0
12PM,3,200.0
12PM,4,219.0
12PM,5,167.0
12PM,6,167.0
12PM,7,190.0
1PM,0,172.0
1PM,1,178.0
1PM,2,218.0
1PM,3,171.0
1PM,4,240.0
1PM,5,171.0
1PM,6,213.0
1PM,7,268.0
2PM,0,190.0
2PM,1,236.0
2PM,2,283.0
2PM,3,209.0
2PM,4,194.0
2PM,5,198.0
2PM,6,191.0
2PM,7,202.0
3PM,0,210.0
3PM,1,243.0
3PM,2,206.0
3PM,3,230.0
3PM,4,211.0
3PM,5,180.0
3PM,6,157.0
3PM,7,259.0
4PM,0,175.0
4PM,1,197.0
4PM,2,272.0
4PM,3,192.0
4PM,4,193.0
4PM,5,194.0
4PM,6,144.0
4PM,7,229.0
5PM,0,198.0
5PM,1,186.0
5PM,2,256.0
5PM,3,166.0
5PM,4,163.0
5PM,5,166.0
5PM,6,134.0
5PM,7,180.0
6PM,0,162.0
6PM,1,193.0
6PM,2,204.0
6PM,3,191.0
6PM,4,148.0
6PM,5,190.0
6PM,6,123.0
6PM,7,334.0
7PM,0,172.0
7PM,1,215.0
7PM,2,199.0
7PM,3,233.0
7PM,4,149.0
7PM,5,171.0
7PM,6,147.0
7PM,7,260.0
8PM,0,139.0
8PM,1,250.0
8PM,2,222.0
8PM,3,236.0
8PM,4,180.0
8PM,5,202.0
8PM,6,149.0
8PM,7,138.0
9PM,0,187.0
9PM,1,330.0
9PM,2,320.0
9PM,3,231.0
9PM,4,257.0
9PM,5,209.0
9PM,6,181.0
9PM,7,2.0
10PM,0,176.0
10PM,1,192.0
10PM,2,300.0
10PM,3,264.0
10PM,4,271.0
10PM,5,246.0
10PM,6,262.0
10PM,7,190.0
11PM,0,177.0
11PM,1,200.0
11PM,2,322.0
11PM,3,285.0
11PM,4,309.0
11PM,5,269.0
11PM,6,267.0
11PM,7,218.0
12AM,0,214.0
12AM,1,202.0
12AM,2,292.0
12AM,3,270.0
12AM,4,327.0
12AM,5,260.0
12AM,6,259.0
12AM,7,207.0
