hour,day,value
0,0,81.0
0,1,92.0
0,2,156.0
0,3,142.0
0,4,155.0
0,5,104.0
0,6,377.0
0,7,505.0
1,0,85.0
1,1,92.0
1,2,90.0
1,3,71.0
1,4,166.0
1,5,89.0
1,6,267.0
1,7,367.0
2,0,29.0
2,1,51.0
2,2,67.0
2,3,43.0
2,4,99.0
2,5,50.0
2,6,135.0
2,7,227.0
3,0,22.0
3,1,36.0
3,2,25.0
3,3,25.0
3,4,51.0
3,5,13.0
3,6,78.0
3,7,131.0
4,0,15.0
4,1,16.0
4,2,16.0
4,3,16.0
4,4,17.0
4,5,11.0
4,6,39.0
4,7,73.0
5,0,13.0
5,1,8.0
5,2,16.0
5,3,13.0
5,4,19.0
5,5,12.0
5,6,33.0
5,7,52.0
6,0,22.0
6,1,14.0
6,2,21.0
6,3,22.0
6,4,29.0
6,5,15.0
6,6,53.0
6,7,57.0
7,0,21.0
7,1,24.0
7,2,35.0
7,3,36.0
7,4,48.0
7,5,44.0
7,6,100.0
7,7,108.0
8,0,27.0
8,1,40.0
8,2,63.0
8,3,60.0
8,4,81.0
8,5,78.0
8,6,169.0
8,7,120.0
9,0,25.0
9,1,65.0
9,2,48.0
9,3,44.0
9,4,91.0
9,5,66.0
9,6,220.0
9,7,224.0
10,0,44.0
10,1,63.0
10,2,92.0
10,3,94.0
10,4,114.0
10,5,107.0
10,6,308.0
10,7,287.0
11,0,70.0
11,1,89.0
11,2,118.0
11,3,88.0
11,4,135.0
11,5,119.0
11,6,426.0
11,7,327.0
12,0,67.0
12,1,129.0
12,2,161.0
12,3,103.0
12,4,123.0
12,5,150.0
12,6,500.0
12,7,360.0
13,0,89.0
13,1,113.0
13,2,160.0
13,3,91.0
13,4,140.0
13,5,166.0
13,6,726.0
13,7,399.0
14,0,140.0
14,1,146.0
14,2,138.0
14,3,120.0
14,4,159.0
14,5,185.0
14,6,854.0
14,7,359.0
15,0,118.0
15,1,226.0
15,2,122.0
15,3,82.0
15,4,147.0
15,5,152.0
15,6,1021.0
15,7,265.0
16,0,138.0
16,1,235.0
16,2,106.0
16,3,122.0
16,4,133.0
16,5,206.0
16,6,1897.0
16,7,263.0
17,0,127.0
17,1,400.0
17,2,108.0
17,3,152.0
17,4,104.0
17,5,236.0
17,6,3347.0
17,7,240.0
18,0,99.0
18,1,276.0
18,2,117.0
18,3,117.0
18,4,97.0
18,5,251.0
18,6,2029.0
18,7,221.0
19,0,130.0
19,1,317.0
19,2,145.0
19,3,102.0
19,4,105.0
19,5,276.0
19,6,1202.0
19,7,103.0
20,0,113.0
20,1,210.0
20,2,138.0
20,3,350.0
20,4,118.0
20,5,372.0
20,6,943.0
20,7,9.0
21,0,82.0
21,1,121.0
21,2,178.0
21,3,147.0
21,4,459.0
21,5,151.0
21,6,387.0
21,7,809.0
22,0,80.0
22,1,99.0
22,2,213.0
22,3,174.0
22,4,266.0
22,5,148.0
22,6,458.0
22,7,588.0
23,0,92.0
23,1,124.0
23,2,226.0
23,3,181.0
23,4,201.0
23,5,162.0
23,6,391.0
23,7,623.0
