hour,day,value
1AM,0,1218.0
1AM,1,937.0
1AM,2,1003.0
1AM,3,1061.0
1AM,4,1067.0
1AM,5,911.0
1AM,6,1001.0
1AM,7,825.0
2AM,0,1005.0
2AM,1,839.0
2AM,2,718.0
2AM,3,695.0
2AM,4,715.0
2AM,5,648.0
2AM,6,753.0
2AM,7,820.0
3AM,0,635.0
3AM,1,573.0
3AM,2,378.0
3AM,3,423.0
3AM,4,439.0
3AM,5,378.0
3AM,6,478.0
3AM,7,536.0
4AM,0,388.0
4AM,1,290.0
4AM,2,306.0
4AM,3,242.0
4AM,4,193.0
4AM,5,238.0
4AM,6,261.0
4AM,7,299.0
5AM,0,174.0
5AM,1,192.0
5AM,2,162.0
5AM,3,139.0
5AM,4,108.0
5AM,5,139.0
5AM,6,157.0
5AM,7,171.0
6AM,0,125.0
6AM,1,169.0
6AM,2,137.0
6AM,3,103.0
6AM,4,106.0
6AM,5,99.0
6AM,6,102.0
6AM,7,137.0
7AM,0,207.0
7AM,1,285.0
7AM,2,211.0
7AM,3,143.0
7AM,4,171.0
7AM,5,139.0
7AM,6,152.0
7AM,7,133.0
8AM,0,232.0
8AM,1,332.0
8AM,2,289.0
8AM,3,246.0
8AM,4,234.0
8AM,5,257.0
8AM,6,236.0
8AM,7,214.0
9AM,0,263.0
9AM,1,444.0
9AM,2,393.0
9AM,3,371.0
9AM,4,371.0
9AM,5,356.0
9AM,6,341.0
9AM,7,263.0
10AM,0,408.0
10AM,1,580.0
10AM,2,506.0
10AM,3,461.0
10AM,4,431.0
10AM,5,453.0
10AM,6,481.0
10AM,7,453.0
11AM,0,587.0
11AM,1,626.0
11AM,2,524.0
11AM,3,561.0
11AM,4,492.0
11AM,5,518.0
11AM,6,539.0
11AM,7,547.0
12PM,0,764.0
12PM,1,779.0
12PM,2,664.0
12PM,3,577.0
12PM,4,641.0
12PM,5,666.0
12PM,6,722.0
12PM,7,632.0
1PM,0,903.0
1PM,1,783.0
1PM,2,758.0
1PM,3,585.0
1PM,4,633.0
1PM,5,625.0
1PM,6,722.0
1PM,7,662.0
2PM,0,893.0
2PM,1,998.0
2PM,2,881.0
2PM,3,697.0
2PM,4,827.0
2PM,5,709.0
2PM,6,782.0
2PM,7,708.0
3PM,0,993.0
3PM,1,923.0
3PM,2,869.0
3PM,3,735.0
3PM,4,799.0
3PM,5,670.0
3PM,6,735.0
3PM,7,789.0
4PM,0,880.0
4PM,1,743.0
4PM,2,813.0
4PM,3,741.0
4PM,4,770.0
4PM,5,710.0
4PM,6,656.0
4PM,7,639.0
5PM,0,793.0
5PM,1,751.0
5PM,2,717.0
5PM,3,694.0
5PM,4,738.0
5PM,5,648.0
5PM,6,768.0
5PM,7,712.0
6PM,0,817.0
6PM,1,684.0
6PM,2,652.0
6PM,3,630.0
6PM,4,697.0
6PM,5,661.0
6PM,6,974.0
6PM,7,1146.0
7PM,0,808.0
7PM,1,793.0
7PM,2,749.0
7PM,3,719.0
7PM,4,678.0
7PM,5,605.0
7PM,6,836.0
7PM,7,890.0
8PM,0,856.0
8PM,1,923.0
8PM,2,801.0
8PM,3,828.0
8PM,4,743.0
8PM,5,700.0
8PM,6,695.0
8PM,7,479.0
9PM,0,934.0
9PM,1,1163.0
9PM,2,821.0
9PM,3,955.0
9PM,4,823.0
9PM,5,738.0
9PM,6,846.0
9PM,7,5.0
10PM,0,1167.0
10PM,1,898.0
10PM,2,1086.0
10PM,3,953.0
10PM,4,1046.0
10PM,5,822.0
10PM,6,1118.0
10PM,7,869.0
11PM,0,1144.0
11PM,1,1037.0
11PM,2,1136.0
11PM,3,1013.0
11PM,4,1016.0
11PM,5,969.0
11PM,6,1163.0
11PM,7,972.0
12AM,0,1317.0
12AM,1,1061.0
12AM,2,1056.0
12AM,3,1086.0
12AM,4,1121.0
12AM,5,1025.0
12AM,6,1075.0
12AM,7,871.0
