hour,day,value
0,0,480.0
0,1,430.0
0,2,308.0
0,3,516.0
0,4,245.0
0,5,314.0
0,6,280.0
0,7,339.0
1,0,451.0
1,1,251.0
1,2,229.0
1,3,374.0
1,4,265.0
1,5,259.0
1,6,248.0
1,7,249.0
2,0,363.0
2,1,210.0
2,2,128.0
2,3,222.0
2,4,172.0
2,5,166.0
2,6,174.0
2,7,232.0
3,0,211.0
3,1,118.0
3,2,90.0
3,3,145.0
3,4,108.0
3,5,131.0
3,6,108.0
3,7,94.0
4,0,148.0
4,1,62.0
4,2,61.0
4,3,84.0
4,4,49.0
4,5,67.0
4,6,84.0
4,7,59.0
5,0,94.0
5,1,43.0
5,2,60.0
5,3,57.0
5,4,52.0
5,5,44.0
5,6,68.0
5,7,58.0
6,0,124.0
6,1,58.0
6,2,61.0
6,3,101.0
6,4,46.0
6,5,54.0
6,6,82.0
6,7,53.0
7,0,148.0
7,1,117.0
7,2,113.0
7,3,127.0
7,4,87.0
7,5,110.0
7,6,134.0
7,7,82.0
8,0,174.0
8,1,116.0
8,2,126.0
8,3,178.0
8,4,141.0
8,5,161.0
8,6,196.0
8,7,148.0
9,0,220.0
9,1,185.0
9,2,142.0
9,3,230.0
9,4,190.0
9,5,182.0
9,6,246.0
9,7,156.0
10,0,270.0
10,1,174.0
10,2,174.0
10,3,243.0
10,4,171.0
10,5,169.0
10,6,295.0
10,7,212.0
11,0,321.0
11,1,191.0
11,2,244.0
11,3,257.0
11,4,210.0
11,5,191.0
11,6,335.0
11,7,243.0
12,0,331.0
12,1,257.0
12,2,273.0
12,3,285.0
12,4,194.0
12,5,215.0
12,6,348.0
12,7,270.0
13,0,308.0
13,1,276.0
13,2,412.0
13,3,298.0
13,4,221.0
13,5,223.0
13,6,369.0
13,7,239.0
14,0,327.0
14,1,367.0
14,2,330.0
14,3,265.0
14,4,216.0
14,5,229.0
14,6,379.0
14,7,320.0
15,0,238.0
15,1,272.0
15,2,363.0
15,3,284.0
15,4,247.0
15,5,223.0
15,6,278.0
15,7,268.0
16,0,276.0
16,1,257.0
16,2,317.0
16,3,214.0
16,4,232.0
16,5,213.0
16,6,348.0
16,7,264.0
17,0,258.0
17,1,324.0
17,2,340.0
17,3,224.0
17,4,210.0
17,5,213.0
17,6,342.0
17,7,313.0
18,0,264.0
18,1,249.0
18,2,364.0
18,3,218.0
18,4,211.0
18,5,228.0
18,6,306.0
18,7,251.0
19,0,287.0
19,1,263.0
19,2,367.0
19,3,242.0
19,4,221.0
19,5,212.0
19,6,252.0
19,7,167.0
20,0,298.0
20,1,285.0
20,2,321.0
20,3,235.0
20,4,264.0
20,5,232.0
20,6,314.0
20,7,1.0
21,0,387.0
21,1,260.0
21,2,328.0
21,3,854.0
21,4,283.0
21,5,262.0
21,6,265.0
21,7,334.0
22,0,486.0
22,1,401.0
22,2,335.0
22,3,726.0
22,4,335.0
22,5,311.0
22,6,290.0
22,7,362.0
23,0,485.0
23,1,482.0
23,2,331.0
23,3,638.0
23,4,318.0
23,5,345.0
23,6,305.0
23,7,324.0
