hour,day,value
0,0,322.0
0,1,288.0
0,2,307.0
0,3,701.0
0,4,281.0
0,5,300.0
0,6,212.0
0,7,223.0
1,0,238.0
1,1,202.0
1,2,202.0
1,3,298.0
1,4,181.0
1,5,188.0
1,6,179.0
1,7,198.0
2,0,140.0
2,1,110.0
2,2,80.0
2,3,107.0
2,4,117.0
2,5,109.0
2,6,116.0
2,7,116.0
3,0,134.0
3,1,59.0
3,2,45.0
3,3,63.0
3,4,55.0
3,5,48.0
3,6,50.0
3,7,55.0
4,0,42.0
4,1,48.0
4,2,33.0
4,3,30.0
4,4,30.0
4,5,25.0
4,6,23.0
4,7,35.0
5,0,40.0
5,1,32.0
5,2,17.0
5,3,29.0
5,4,20.0
5,5,22.0
5,6,20.0
5,7,23.0
6,0,48.0
6,1,42.0
6,2,30.0
6,3,66.0
6,4,26.0
6,5,28.0
6,6,20.0
6,7,25.0
7,0,40.0
7,1,58.0
7,2,66.0
7,3,85.0
7,4,51.0
7,5,70.0
7,6,53.0
7,7,46.0
8,0,50.0
8,1,100.0
8,2,116.0
8,3,95.0
8,4,68.0
8,5,90.0
8,6,88.0
8,7,62.0
9,0,90.0
9,1,114.0
9,2,123.0
9,3,134.0
9,4,142.0
9,5,97.0
9,6,129.0
9,7,95.0
10,0,138.0
10,1,117.0
10,2,141.0
10,3,125.0
10,4,133.0
10,5,93.0
10,6,127.0
10,7,155.0
11,0,186.0
11,1,164.0
11,2,133.0
11,3,185.0
11,4,159.0
11,5,132.0
11,6,164.0
11,7,154.0
12,0,178.0
12,1,288.0
12,2,200.0
12,3,165.0
12,4,165.0
12,5,100.0
12,6,131.0
12,7,166.0
13,0,187.0
13,1,261.0
13,2,188.0
13,3,153.0
13,4,162.0
13,5,125.0
13,6,186.0
13,7,184.0
14,0,178.0
14,1,235.0
14,2,182.0
14,3,166.0
14,4,175.0
14,5,120.0
14,6,181.0
14,7,211.0
15,0,160.0
15,1,247.0
15,2,175.0
15,3,217.0
15,4,180.0
15,5,119.0
15,6,122.0
15,7,168.0
16,0,142.0
16,1,177.0
16,2,167.0
16,3,181.0
16,4,181.0
16,5,153.0
16,6,118.0
16,7,229.0
17,0,142.0
17,1,175.0
17,2,135.0
17,3,146.0
17,4,152.0
17,5,200.0
17,6,250.0
17,7,214.0
18,0,163.0
18,1,194.0
18,2,149.0
18,3,202.0
18,4,171.0
18,5,216.0
18,6,192.0
18,7,185.0
19,0,236.0
19,1,194.0
19,2,148.0
19,3,179.0
19,4,164.0
19,5,159.0
19,6,162.0
19,7,89.0
20,0,192.0
20,1,184.0
20,2,170.0
20,3,258.0
20,4,203.0
20,5,175.0
20,6,148.0
20,7,1.0
21,0,173.0
21,1,173.0
21,2,201.0
21,3,191.0
21,4,304.0
21,5,192.0
21,6,206.0
21,7,207.0
22,0,172.0
22,1,175.0
22,2,284.0
22,3,206.0
22,4,231.0
22,5,217.0
22,6,227.0
22,7,164.0
23,0,236.0
23,1,220.0
23,2,253.0
23,3,283.0
23,4,226.0
23,5,209.0
23,6,229.0
23,7,198.0
