hour,day,value
0,0,114.0
0,1,113.0
0,2,99.0
0,3,270.0
0,4,124.0
0,5,79.0
0,6,102.0
0,7,57.0
1,0,98.0
1,1,54.0
1,2,76.0
1,3,200.0
1,4,92.0
1,5,55.0
1,6,89.0
1,7,48.0
2,0,69.0
2,1,36.0
2,2,79.0
2,3,120.0
2,4,59.0
2,5,34.0
2,6,60.0
2,7,36.0
3,0,43.0
3,1,20.0
3,2,30.0
3,3,86.0
3,4,33.0
3,5,32.0
3,6,32.0
3,7,18.0
4,0,21.0
4,1,19.0
4,2,22.0
4,3,42.0
4,4,22.0
4,5,14.0
4,6,26.0
4,7,17.0
5,0,15.0
5,1,18.0
5,2,24.0
5,3,36.0
5,4,18.0
5,5,15.0
5,6,13.0
5,7,7.0
6,0,21.0
6,1,26.0
6,2,30.0
6,3,50.0
6,4,32.0
6,5,14.0
6,6,26.0
6,7,14.0
7,0,24.0
7,1,39.0
7,2,48.0
7,3,62.0
7,4,36.0
7,5,27.0
7,6,34.0
7,7,37.0
8,0,30.0
8,1,25.0
8,2,74.0
8,3,61.0
8,4,44.0
8,5,48.0
8,6,55.0
8,7,51.0
9,0,33.0
9,1,41.0
9,2,63.0
9,3,93.0
9,4,69.0
9,5,35.0
9,6,59.0
9,7,59.0
10,0,48.0
10,1,50.0
10,2,77.0
10,3,93.0
10,4,63.0
10,5,43.0
10,6,68.0
10,7,62.0
11,0,73.0
11,1,75.0
11,2,76.0
11,3,101.0
11,4,61.0
11,5,51.0
11,6,83.0
11,7,80.0
12,0,70.0
12,1,88.0
12,2,87.0
12,3,92.0
12,4,89.0
12,5,60.0
12,6,57.0
12,7,90.0
13,0,88.0
13,1,129.0
13,2,91.0
13,3,101.0
13,4,72.0
13,5,64.0
13,6,56.0
13,7,94.0
14,0,100.0
14,1,100.0
14,2,86.0
14,3,93.0
14,4,54.0
14,5,60.0
14,6,66.0
14,7,62.0
15,0,114.0
15,1,100.0
15,2,113.0
15,3,136.0
15,4,74.0
15,5,59.0
15,6,37.0
15,7,53.0
16,0,100.0
16,1,83.0
16,2,87.0
16,3,107.0
16,4,48.0
16,5,97.0
16,6,47.0
16,7,63.0
17,0,124.0
17,1,95.0
17,2,59.0
17,3,84.0
17,4,92.0
17,5,46.0
17,6,62.0
17,7,72.0
18,0,116.0
18,1,83.0
18,2,94.0
18,3,94.0
18,4,44.0
18,5,68.0
18,6,68.0
18,7,57.0
19,0,96.0
19,1,91.0
19,2,93.0
19,3,94.0
19,4,73.0
19,5,79.0
19,6,63.0
19,7,42.0
20,0,102.0
20,1,112.0
20,2,103.0
20,3,106.0
20,4,74.0
20,5,110.0
20,6,78.0
20,7,1.0
21,0,82.0
21,1,129.0
21,2,126.0
21,3,582.0
21,4,132.0
21,5,105.0
21,6,143.0
21,7,65.0
22,0,92.0
22,1,102.0
22,2,96.0
22,3,496.0
22,4,108.0
22,5,100.0
22,6,135.0
22,7,57.0
23,0,81.0
23,1,98.0
23,2,102.0
23,3,351.0
23,4,101.0
23,5,99.0
23,6,112.0
23,7,65.0
