hour,day,value
0,0,873.0
0,1,852.0
0,2,650.0
0,3,576.0
0,4,748.0
0,5,518.0
0,6,629.0
0,7,584.0
1,0,741.0
1,1,704.0
1,2,472.0
1,3,363.0
1,4,599.0
1,5,498.0
1,6,481.0
1,7,441.0
2,0,472.0
2,1,568.0
2,2,290.0
2,3,300.0
2,4,348.0
2,5,239.0
2,6,349.0
2,7,284.0
3,0,309.0
3,1,317.0
3,2,158.0
3,3,214.0
3,4,201.0
3,5,180.0
3,6,224.0
3,7,178.0
4,0,214.0
4,1,192.0
4,2,137.0
4,3,129.0
4,4,136.0
4,5,143.0
4,6,170.0
4,7,134.0
5,0,161.0
5,1,175.0
5,2,114.0
5,3,92.0
5,4,108.0
5,5,121.0
5,6,104.0
5,7,108.0
6,0,205.0
6,1,225.0
6,2,160.0
6,3,138.0
6,4,169.0
6,5,135.0
6,6,128.0
6,7,136.0
7,0,252.0
7,1,325.0
7,2,236.0
7,3,227.0
7,4,273.0
7,5,224.0
7,6,218.0
7,7,164.0
8,0,247.0
8,1,401.0
8,2,316.0
8,3,311.0
8,4,346.0
8,5,337.0
8,6,241.0
8,7,201.0
9,0,383.0
9,1,575.0
9,2,359.0
9,3,319.0
9,4,396.0
9,5,325.0
9,6,338.0
9,7,263.0
10,0,485.0
10,1,632.0
10,2,407.0
10,3,470.0
10,4,377.0
10,5,333.0
10,6,378.0
10,7,325.0
11,0,575.0
11,1,628.0
11,2,458.0
11,3,450.0
11,4,424.0
11,5,471.0
11,6,458.0
11,7,433.0
12,0,716.0
12,1,626.0
12,2,407.0
12,3,540.0
12,4,418.0
12,5,444.0
12,6,539.0
12,7,399.0
13,0,759.0
13,1,685.0
13,2,479.0
13,3,681.0
13,4,504.0
13,5,416.0
13,6,566.0
13,7,365.0
14,0,640.0
14,1,718.0
14,2,498.0
14,3,747.0
14,4,425.0
14,5,501.0
14,6,477.0
14,7,462.0
15,0,564.0
15,1,611.0
15,2,508.0
15,3,673.0
15,4,475.0
15,5,1054.0
15,6,410.0
15,7,360.0
16,0,508.0
16,1,657.0
16,2,520.0
16,3,707.0
16,4,483.0
16,5,647.0
16,6,401.0
16,7,335.0
17,0,645.0
17,1,668.0
17,2,439.0
17,3,657.0
17,4,413.0
17,5,560.0
17,6,464.0
17,7,379.0
18,0,548.0
18,1,602.0
18,2,560.0
18,3,695.0
18,4,499.0
18,5,574.0
18,6,507.0
18,7,416.0
19,0,602.0
19,1,599.0
19,2,630.0
19,3,687.0
19,4,453.0
19,5,720.0
19,6,415.0
19,7,227.0
20,0,603.0
20,1,672.0
20,2,591.0
20,3,1501.0
20,4,465.0
20,5,754.0
20,6,453.0
20,7,4.0
21,0,566.0
21,1,569.0
21,2,701.0
21,3,670.0
21,4,1324.0
21,5,610.0
21,6,848.0
21,7,581.0
22,0,687.0
22,1,731.0
22,2,757.0
22,3,630.0
22,4,980.0
22,5,553.0
22,6,836.0
22,7,542.0
23,0,760.0
23,1,1052.0
23,2,753.0
23,3,623.0
23,4,816.0
23,5,641.0
23,6,796.0
23,7,597.0
