hour,day,value
0,0,429.0
0,1,303.0
0,2,407.0
0,3,492.0
0,4,418.0
0,5,333.0
0,6,367.0
0,7,354.0
1,0,309.0
1,1,227.0
1,2,279.0
1,3,359.0
1,4,243.0
1,5,267.0
1,6,306.0
1,7,270.0
2,0,210.0
2,1,135.0
2,2,159.0
2,3,231.0
2,4,136.0
2,5,152.0
2,6,154.0
2,7,128.0
3,0,127.0
3,1,82.0
3,2,74.0
3,3,153.0
3,4,71.0
3,5,87.0
3,6,104.0
3,7,76.0
4,0,69.0
4,1,48.0
4,2,76.0
4,3,93.0
4,4,55.0
4,5,59.0
4,6,85.0
4,7,67.0
5,0,52.0
5,1,41.0
5,2,71.0
5,3,75.0
5,4,46.0
5,5,49.0
5,6,54.0
5,7,49.0
6,0,71.0
6,1,65.0
6,2,131.0
6,3,134.0
6,4,77.0
6,5,96.0
6,6,86.0
6,7,65.0
7,0,122.0
7,1,114.0
7,2,209.0
7,3,204.0
7,4,177.0
7,5,154.0
7,6,154.0
7,7,103.0
8,0,141.0
8,1,137.0
8,2,269.0
8,3,322.0
8,4,183.0
8,5,248.0
8,6,156.0
8,7,109.0
9,0,185.0
9,1,166.0
9,2,237.0
9,3,281.0
9,4,231.0
9,5,270.0
9,6,251.0
9,7,178.0
10,0,271.0
10,1,253.0
10,2,285.0
10,3,327.0
10,4,233.0
10,5,278.0
10,6,240.0
10,7,176.0
11,0,276.0
11,1,312.0
11,2,315.0
11,3,322.0
11,4,262.0
11,5,296.0
11,6,253.0
11,7,245.0
12,0,275.0
12,1,300.0
12,2,319.0
12,3,325.0
12,4,276.0
12,5,254.0
12,6,253.0
12,7,272.0
13,0,245.0
13,1,367.0
13,2,307.0
13,3,331.0
13,4,298.0
13,5,314.0
13,6,259.0
13,7,323.0
14,0,290.0
14,1,473.0
14,2,362.0
14,3,394.0
14,4,259.0
14,5,302.0
14,6,277.0
14,7,308.0
15,0,309.0
15,1,355.0
15,2,460.0
15,3,318.0
15,4,355.0
15,5,294.0
15,6,224.0
15,7,248.0
16,0,254.0
16,1,352.0
16,2,362.0
16,3,235.0
16,4,322.0
16,5,276.0
16,6,229.0
16,7,280.0
17,0,254.0
17,1,402.0
17,2,303.0
17,3,228.0
17,4,349.0
17,5,258.0
17,6,270.0
17,7,287.0
18,0,306.0
18,1,376.0
18,2,349.0
18,3,230.0
18,4,347.0
18,5,407.0
18,6,230.0
18,7,291.0
19,0,345.0
19,1,451.0
19,2,427.0
19,3,276.0
19,4,344.0
19,5,336.0
19,6,286.0
19,7,184.0
20,0,328.0
20,1,661.0
20,2,520.0
20,3,362.0
20,4,379.0
20,5,422.0
20,6,315.0
20,7,3.0
21,0,327.0
21,1,331.0
21,2,535.0
21,3,516.0
21,4,464.0
21,5,438.0
21,6,422.0
21,7,431.0
22,0,410.0
22,1,339.0
22,2,559.0
22,3,667.0
22,4,418.0
22,5,450.0
22,6,473.0
22,7,413.0
23,0,431.0
23,1,350.0
23,2,533.0
23,3,539.0
23,4,364.0
23,5,448.0
23,6,407.0
23,7,399.0
