hour,day,value
0,0,14155.0
0,1,11809.0
0,2,12091.0
0,3,12364.0
0,4,13250.0
0,5,11923.0
0,6,12678.0
0,7,11255.0
1,0,11512.0
1,1,9216.0
1,2,8663.0
1,3,8754.0
1,4,9641.0
1,5,8920.0
1,6,9493.0
1,7,9359.0
2,0,7631.0
2,1,5569.0
2,2,5237.0
2,3,5276.0
2,4,6180.0
2,5,5457.0
2,6,6186.0
2,7,5944.0
3,0,4788.0
3,1,3375.0
3,2,3185.0
3,3,3326.0
3,4,3462.0
3,5,3297.0
3,6,3657.0
3,7,3472.0
4,0,2816.0
4,1,2149.0
4,2,2144.0
4,3,1908.0
4,4,2091.0
4,5,1929.0
4,6,2193.0
4,7,2142.0
5,0,1871.0
5,1,1635.0
5,2,1569.0
5,3,1563.0
5,4,1775.0
5,5,1406.0
5,6,1539.0
5,7,1630.0
6,0,2484.0
6,1,2160.0
6,2,2437.0
6,3,2270.0
6,4,2506.0
6,5,2228.0
6,6,1993.0
6,7,1858.0
7,0,2822.0
7,1,3038.0
7,2,3810.0
7,3,3762.0
7,4,4098.0
7,5,3738.0
7,6,3573.0
7,7,2688.0
8,0,3600.0
8,1,4066.0
8,2,4890.0
8,3,5463.0
8,4,4904.0
8,5,5696.0
8,6,4832.0
8,7,3566.0
9,0,5236.0
9,1,5130.0
9,2,5945.0
9,3,5729.0
9,4,6715.0
9,5,6359.0
9,6,6485.0
9,7,5345.0
10,0,7415.0
10,1,6191.0
10,2,6392.0
10,3,7043.0
10,4,8088.0
10,5,7125.0
10,6,7244.0
10,7,6803.0
11,0,8712.0
11,1,7939.0
11,2,7537.0
11,3,8314.0
11,4,9014.0
11,5,8299.0
11,6,8752.0
11,7,8476.0
12,0,9234.0
12,1,8283.0
12,2,8276.0
12,3,8230.0
12,4,9450.0
12,5,8483.0
12,6,8840.0
12,7,9068.0
13,0,9692.0
13,1,9874.0
13,2,9584.0
13,3,8965.0
13,4,10606.0
13,5,9694.0
13,6,9385.0
13,7,9517.0
14,0,9821.0
14,1,10859.0
14,2,9618.0
14,3,10075.0
14,4,10710.0
14,5,9952.0
14,6,9535.0
14,7,9815.0
15,0,9178.0
15,1,9737.0
15,2,9664.0
15,3,9770.0
15,4,10828.0
15,5,10439.0
15,6,7821.0
15,7,9107.0
16,0,8764.0
16,1,8642.0
16,2,9090.0
16,3,9408.0
16,4,9474.0
16,5,9376.0
16,6,8169.0
16,7,8701.0
17,0,8987.0
17,1,9156.0
17,2,8676.0
17,3,8817.0
17,4,9014.0
17,5,8965.0
17,6,9820.0
17,7,9534.0
18,0,8855.0
18,1,9956.0
18,2,9862.0
18,3,9264.0
18,4,9173.0
18,5,9074.0
18,6,9657.0
18,7,9325.0
19,0,9819.0
19,1,11680.0
19,2,10367.0
19,3,10228.0
19,4,10009.0
19,5,9753.0
19,6,8706.0
19,7,5757.0
20,0,10511.0
20,1,12107.0
20,2,11031.0
20,3,12519.0
20,4,10860.0
20,5,11546.0
20,6,9206.0
20,7,71.0
21,0,10872.0
21,1,10718.0
21,2,12584.0
21,3,11487.0
21,4,15635.0
21,5,11820.0
21,6,12741.0
21,7,11581.0
22,0,12826.0
22,1,11397.0
22,2,13585.0
22,3,12833.0
22,4,14522.0
22,5,12825.0
22,6,13630.0
22,7,11005.0
23,0,13686.0
23,1,12175.0
23,2,14030.0
23,3,13610.0
23,4,14113.0
23,5,13526.0
23,6,14072.0
23,7,11571.0
