hour,day,value
0,0,3364.0
0,1,2996.0
0,2,2921.0
0,3,2964.0
0,4,3300.0
0,5,2893.0
0,6,3221.0
0,7,2580.0
1,0,2736.0
1,1,2227.0
1,2,2076.0
1,3,2133.0
1,4,2242.0
1,5,2272.0
1,6,2302.0
1,7,2073.0
2,0,1812.0
2,1,1379.0
2,2,1245.0
2,3,1285.0
2,4,1480.0
2,5,1327.0
2,6,1602.0
2,7,1343.0
3,0,1108.0
3,1,761.0
3,2,715.0
3,3,789.0
3,4,862.0
3,5,834.0
3,6,951.0
3,7,811.0
4,0,588.0
4,1,522.0
4,2,501.0
4,3,479.0
4,4,522.0
4,5,409.0
4,6,593.0
4,7,491.0
5,0,395.0
5,1,385.0
5,2,356.0
5,3,348.0
5,4,415.0
5,5,324.0
5,6,408.0
5,7,366.0
6,0,547.0
6,1,554.0
6,2,580.0
6,3,529.0
6,4,547.0
6,5,527.0
6,6,544.0
6,7,398.0
7,0,595.0
7,1,767.0
7,2,854.0
7,3,845.0
7,4,1084.0
7,5,873.0
7,6,982.0
7,7,615.0
8,0,770.0
8,1,997.0
8,2,1160.0
8,3,1307.0
8,4,1138.0
8,5,1360.0
8,6,1315.0
8,7,756.0
9,0,1155.0
9,1,1306.0
9,2,1377.0
9,3,1423.0
9,4,1620.0
9,5,1441.0
9,6,1671.0
9,7,1181.0
10,0,1675.0
10,1,1545.0
10,2,1605.0
10,3,1734.0
10,4,1985.0
10,5,1702.0
10,6,1953.0
10,7,1581.0
11,0,1994.0
11,1,2090.0
11,2,1899.0
11,3,1850.0
11,4,2299.0
11,5,2107.0
11,6,2342.0
11,7,1912.0
12,0,2037.0
12,1,2059.0
12,2,2101.0
12,3,2009.0
12,4,2353.0
12,5,2412.0
12,6,2357.0
12,7,2100.0
13,0,2329.0
13,1,2487.0
13,2,2414.0
13,3,2095.0
13,4,2578.0
13,5,2799.0
13,6,2456.0
13,7,2225.0
14,0,2394.0
14,1,2905.0
14,2,2288.0
14,3,2306.0
14,4,2714.0
14,5,2574.0
14,6,2515.0
14,7,2280.0
15,0,2265.0
15,1,2614.0
15,2,2245.0
15,3,2253.0
15,4,2679.0
15,5,2348.0
15,6,1961.0
15,7,2129.0
16,0,2198.0
16,1,2255.0
16,2,2138.0
16,3,2082.0
16,4,2336.0
16,5,2173.0
16,6,2048.0
16,7,2130.0
17,0,2155.0
17,1,2269.0
17,2,1968.0
17,3,1997.0
17,4,2338.0
17,5,1995.0
17,6,2772.0
17,7,2379.0
18,0,2084.0
18,1,2369.0
18,2,2165.0
18,3,2310.0
18,4,2281.0
18,5,2122.0
18,6,2812.0
18,7,2270.0
19,0,2404.0
19,1,3012.0
19,2,2409.0
19,3,2593.0
19,4,2486.0
19,5,2206.0
19,6,2220.0
19,7,1346.0
20,0,2679.0
20,1,3074.0
20,2,2495.0
20,3,3261.0
20,4,2585.0
20,5,2690.0
20,6,2300.0
20,7,12.0
21,0,2638.0
21,1,2648.0
21,2,3220.0
21,3,2735.0
21,4,3857.0
21,5,2841.0
21,6,3237.0
21,7,2664.0
22,0,3100.0
22,1,2818.0
22,2,3277.0
22,3,3063.0
22,4,3632.0
22,5,3128.0
22,6,3674.0
22,7,2623.0
23,0,3370.0
23,1,3010.0
23,2,3417.0
23,3,3278.0
23,4,3325.0
23,5,3285.0
23,6,3707.0
23,7,2661.0
