hour,day,value
1AM,0,193.0
1AM,1,141.0
1AM,2,252.0
1AM,3,253.0
1AM,4,271.0
1AM,5,177.0
1AM,6,237.0
1AM,7,151.0
2AM,0,157.0
2AM,1,126.0
2AM,2,151.0
2AM,3,158.0
2AM,4,183.0
2AM,5,175.0
2AM,6,122.0
2AM,7,135.0
3AM,0,101.0
3AM,1,84.0
3AM,2,85.0
3AM,3,111.0
3AM,4,107.0
3AM,5,62.0
3AM,6,89.0
3AM,7,97.0
4AM,0,50.0
4AM,1,56.0
4AM,2,47.0
4AM,3,81.0
4AM,4,64.0
4AM,5,39.0
4AM,6,58.0
4AM,7,47.0
5AM,0,35.0
5AM,1,29.0
5AM,2,44.0
5AM,3,30.0
5AM,4,39.0
5AM,5,39.0
5AM,6,42.0
5AM,7,38.0
6AM,0,40.0
6AM,1,21.0
6AM,2,44.0
6AM,3,25.0
6AM,4,41.0
6AM,5,32.0
6AM,6,19.0
6AM,7,26.0
7AM,0,38.0
7AM,1,34.0
7AM,2,50.0
7AM,3,44.0
7AM,4,64.0
7AM,5,39.0
7AM,6,28.0
7AM,7,24.0
8AM,0,45.0
8AM,1,60.0
8AM,2,73.0
8AM,3,76.0
8AM,4,118.0
8AM,5,70.0
8AM,6,58.0
8AM,7,39.0
9AM,0,48.0
9AM,1,79.0
9AM,2,101.0
9AM,3,117.0
9AM,4,114.0
9AM,5,104.0
9AM,6,84.0
9AM,7,63.0
10AM,0,77.0
10AM,1,105.0
10AM,2,87.0
10AM,3,120.0
10AM,4,146.0
10AM,5,117.0
10AM,6,90.0
10AM,7,110.0
11AM,0,106.0
11AM,1,130.0
11AM,2,143.0
11AM,3,140.0
11AM,4,175.0
11AM,5,131.0
11AM,6,114.0
11AM,7,144.0
12PM,0,124.0
12PM,1,170.0
12PM,2,167.0
12PM,3,165.0
12PM,4,178.0
12PM,5,143.0
12PM,6,147.0
12PM,7,175.0
1PM,0,154.0
1PM,1,181.0
1PM,2,178.0
1PM,3,138.0
1PM,4,197.0
1PM,5,134.0
1PM,6,196.0
1PM,7,225.0
2PM,0,143.0
2PM,1,206.0
2PM,2,162.0
2PM,3,139.0
2PM,4,184.0
2PM,5,143.0
2PM,6,185.0
2PM,7,202.0
3PM,0,149.0
3PM,1,193.0
3PM,2,186.0
3PM,3,194.0
3PM,4,177.0
3PM,5,150.0
3PM,6,170.0
3PM,7,173.0
4PM,0,118.0
4PM,1,184.0
4PM,2,155.0
4PM,3,210.0
4PM,4,218.0
4PM,5,169.0
4PM,6,135.0
4PM,7,144.0
5PM,0,143.0
5PM,1,169.0
5PM,2,182.0
5PM,3,128.0
5PM,4,139.0
5PM,5,110.0
5PM,6,125.0
5PM,7,131.0
6PM,0,146.0
6PM,1,197.0
6PM,2,134.0
6PM,3,197.0
6PM,4,181.0
6PM,5,108.0
6PM,6,121.0
6PM,7,142.0
7PM,0,169.0
7PM,1,158.0
7PM,2,209.0
7PM,3,173.0
7PM,4,217.0
7PM,5,127.0
7PM,6,134.0
7PM,7,130.0
8PM,0,111.0
8PM,1,183.0
8PM,2,174.0
8PM,3,273.0
8PM,4,227.0
8PM,5,151.0
8PM,6,147.0
8PM,7,98.0
9PM,0,136.0
9PM,1,203.0
9PM,2,145.0
9PM,3,458.0
9PM,4,189.0
9PM,5,234.0
9PM,6,135.0
9PM,7,2.0
10PM,0,183.0
10PM,1,194.0
10PM,2,230.0
10PM,3,192.0
10PM,4,533.0
10PM,5,241.0
10PM,6,250.0
10PM,7,263.0
11PM,0,163.0
11PM,1,205.0
11PM,2,270.0
11PM,3,209.0
11PM,4,280.0
11PM,5,238.0
11PM,6,185.0
11PM,7,178.0
12AM,0,195.0
12AM,1,208.0
12AM,2,253.0
12AM,3,207.0
12AM,4,274.0
12AM,5,207.0
12AM,6,175.0
12AM,7,172.0
