hour,day,value
1AM,0,988.0
1AM,1,857.0
1AM,2,1040.0
1AM,3,963.0
1AM,4,815.0
1AM,5,768.0
1AM,6,1131.0
1AM,7,964.0
2AM,0,821.0
2AM,1,698.0
2AM,2,719.0
2AM,3,632.0
2AM,4,634.0
2AM,5,618.0
2AM,6,807.0
2AM,7,825.0
3AM,0,557.0
3AM,1,432.0
3AM,2,423.0
3AM,3,382.0
3AM,4,460.0
3AM,5,407.0
3AM,6,532.0
3AM,7,476.0
4AM,0,369.0
4AM,1,271.0
4AM,2,258.0
4AM,3,235.0
4AM,4,248.0
4AM,5,233.0
4AM,6,315.0
4AM,7,311.0
5AM,0,243.0
5AM,1,154.0
5AM,2,197.0
5AM,3,176.0
5AM,4,158.0
5AM,5,135.0
5AM,6,198.0
5AM,7,179.0
6AM,0,122.0
6AM,1,137.0
6AM,2,172.0
6AM,3,127.0
6AM,4,119.0
6AM,5,108.0
6AM,6,139.0
6AM,7,135.0
7AM,0,161.0
7AM,1,149.0
7AM,2,248.0
7AM,3,158.0
7AM,4,172.0
7AM,5,144.0
7AM,6,178.0
7AM,7,174.0
8AM,0,202.0
8AM,1,235.0
8AM,2,321.0
8AM,3,254.0
8AM,4,282.0
8AM,5,263.0
8AM,6,344.0
8AM,7,216.0
9AM,0,268.0
9AM,1,267.0
9AM,2,430.0
9AM,3,371.0
9AM,4,335.0
9AM,5,396.0
9AM,6,469.0
9AM,7,271.0
10AM,0,373.0
10AM,1,415.0
10AM,2,550.0
10AM,3,465.0
10AM,4,454.0
10AM,5,434.0
10AM,6,594.0
10AM,7,393.0
11AM,0,534.0
11AM,1,598.0
11AM,2,503.0
11AM,3,535.0
11AM,4,513.0
11AM,5,520.0
11AM,6,650.0
11AM,7,501.0
12PM,0,646.0
12PM,1,626.0
12PM,2,625.0
12PM,3,572.0
12PM,4,661.0
12PM,5,550.0
12PM,6,771.0
12PM,7,589.0
1PM,0,691.0
1PM,1,585.0
1PM,2,597.0
1PM,3,624.0
1PM,4,763.0
1PM,5,522.0
1PM,6,780.0
1PM,7,697.0
2PM,0,692.0
2PM,1,754.0
2PM,2,628.0
2PM,3,880.0
2PM,4,958.0
2PM,5,564.0
2PM,6,853.0
2PM,7,626.0
3PM,0,752.0
3PM,1,758.0
3PM,2,693.0
3PM,3,844.0
3PM,4,870.0
3PM,5,631.0
3PM,6,861.0
3PM,7,633.0
4PM,0,739.0
4PM,1,707.0
4PM,2,753.0
4PM,3,838.0
4PM,4,694.0
4PM,5,727.0
4PM,6,637.0
4PM,7,642.0
5PM,0,676.0
5PM,1,593.0
5PM,2,678.0
5PM,3,795.0
5PM,4,715.0
5PM,5,935.0
5PM,6,592.0
5PM,7,707.0
6PM,0,654.0
6PM,1,733.0
6PM,2,748.0
6PM,3,731.0
6PM,4,651.0
6PM,5,762.0
6PM,6,939.0
6PM,7,631.0
7PM,0,606.0
7PM,1,793.0
7PM,2,764.0
7PM,3,676.0
7PM,4,635.0
7PM,5,827.0
7PM,6,881.0
7PM,7,737.0
8PM,0,691.0
8PM,1,871.0
8PM,2,666.0
8PM,3,801.0
8PM,4,724.0
8PM,5,810.0
8PM,6,790.0
8PM,7,422.0
9PM,0,680.0
9PM,1,1126.0
9PM,2,816.0
9PM,3,876.0
9PM,4,772.0
9PM,5,825.0
9PM,6,800.0
9PM,7,5.0
10PM,0,715.0
10PM,1,760.0
10PM,2,1189.0
10PM,3,770.0
10PM,4,882.0
10PM,5,835.0
10PM,6,1124.0
10PM,7,917.0
11PM,0,864.0
11PM,1,779.0
11PM,2,1332.0
11PM,3,975.0
11PM,4,1024.0
11PM,5,909.0
11PM,6,1253.0
11PM,7,947.0
12AM,0,1116.0
12AM,1,897.0
12AM,2,1245.0
12AM,3,923.0
12AM,4,929.0
12AM,5,946.0
12AM,6,1287.0
12AM,7,1043.0
