hour,day,value
0,0,353.0
0,1,226.0
0,2,190.0
0,3,322.0
0,4,195.0
0,5,104.0
0,6,319.0
0,7,206.0
1,0,272.0
1,1,173.0
1,2,160.0
1,3,205.0
1,4,167.0
1,5,74.0
1,6,215.0
1,7,188.0
2,0,157.0
2,1,116.0
2,2,78.0
2,3,124.0
2,4,82.0
2,5,44.0
2,6,107.0
2,7,107.0
3,0,106.0
3,1,83.0
3,2,56.0
3,3,101.0
3,4,80.0
3,5,29.0
3,6,74.0
3,7,71.0
4,0,85.0
4,1,54.0
4,2,42.0
4,3,51.0
4,4,36.0
4,5,13.0
4,6,59.0
4,7,46.0
5,0,45.0
5,1,48.0
5,2,46.0
5,3,38.0
5,4,24.0
5,5,19.0
5,6,55.0
5,7,31.0
6,0,69.0
6,1,43.0
6,2,39.0
6,3,55.0
6,4,35.0
6,5,20.0
6,6,50.0
6,7,30.0
7,0,84.0
7,1,44.0
7,2,42.0
7,3,81.0
7,4,69.0
7,5,46.0
7,6,97.0
7,7,74.0
8,0,103.0
8,1,89.0
8,2,80.0
8,3,103.0
8,4,83.0
8,5,89.0
8,6,122.0
8,7,133.0
9,0,129.0
9,1,113.0
9,2,103.0
9,3,131.0
9,4,111.0
9,5,100.0
9,6,155.0
9,7,134.0
10,0,190.0
10,1,113.0
10,2,107.0
10,3,137.0
10,4,98.0
10,5,117.0
10,6,157.0
10,7,141.0
11,0,160.0
11,1,139.0
11,2,129.0
11,3,184.0
11,4,109.0
11,5,148.0
11,6,190.0
11,7,152.0
12,0,192.0
12,1,153.0
12,2,128.0
12,3,185.0
12,4,144.0
12,5,140.0
12,6,186.0
12,7,197.0
13,0,181.0
13,1,166.0
13,2,162.0
13,3,229.0
13,4,114.0
13,5,161.0
13,6,233.0
13,7,202.0
14,0,183.0
14,1,226.0
14,2,213.0
14,3,242.0
14,4,133.0
14,5,127.0
14,6,240.0
14,7,199.0
15,0,192.0
15,1,149.0
15,2,208.0
15,3,210.0
15,4,169.0
15,5,116.0
15,6,218.0
15,7,193.0
16,0,181.0
16,1,133.0
16,2,222.0
16,3,174.0
16,4,105.0
16,5,140.0
16,6,228.0
16,7,143.0
17,0,218.0
17,1,187.0
17,2,204.0
17,3,189.0
17,4,120.0
17,5,153.0
17,6,236.0
17,7,179.0
18,0,212.0
18,1,186.0
18,2,207.0
18,3,172.0
18,4,120.0
18,5,135.0
18,6,195.0
18,7,166.0
19,0,181.0
19,1,196.0
19,2,235.0
19,3,181.0
19,4,139.0
19,5,181.0
19,6,218.0
19,7,112.0
20,0,185.0
20,1,213.0
20,2,245.0
20,3,211.0
20,4,135.0
20,5,253.0
20,6,206.0
20,7,1.0
21,0,226.0
21,1,222.0
21,2,214.0
21,3,256.0
21,4,238.0
21,5,168.0
21,6,218.0
21,7,248.0
22,0,278.0
22,1,271.0
22,2,211.0
22,3,266.0
22,4,247.0
22,5,145.0
22,6,276.0
22,7,245.0
23,0,364.0
23,1,286.0
23,2,179.0
23,3,357.0
23,4,170.0
23,5,117.0
23,6,487.0
23,7,232.0
