hour,day,value
0,0,597.0
0,1,415.0
0,2,264.0
0,3,348.0
0,4,339.0
0,5,234.0
0,6,224.0
0,7,242.0
1,0,461.0
1,1,289.0
1,2,260.0
1,3,251.0
1,4,302.0
1,5,208.0
1,6,168.0
1,7,240.0
2,0,294.0
2,1,186.0
2,2,198.0
2,3,153.0
2,4,142.0
2,5,105.0
2,6,119.0
2,7,152.0
3,0,157.0
3,1,153.0
3,2,121.0
3,3,99.0
3,4,87.0
3,5,86.0
3,6,87.0
3,7,92.0
4,0,95.0
4,1,127.0
4,2,83.0
4,3,66.0
4,4,45.0
4,5,54.0
4,6,60.0
4,7,54.0
5,0,75.0
5,1,107.0
5,2,93.0
5,3,70.0
5,4,54.0
5,5,79.0
5,6,26.0
5,7,47.0
6,0,105.0
6,1,96.0
6,2,98.0
6,3,84.0
6,4,98.0
6,5,96.0
6,6,38.0
6,7,69.0
7,0,125.0
7,1,128.0
7,2,132.0
7,3,113.0
7,4,149.0
7,5,145.0
7,6,72.0
7,7,94.0
8,0,179.0
8,1,179.0
8,2,166.0
8,3,174.0
8,4,193.0
8,5,179.0
8,6,103.0
8,7,85.0
9,0,178.0
9,1,240.0
9,2,187.0
9,3,174.0
9,4,220.0
9,5,156.0
9,6,131.0
9,7,144.0
10,0,350.0
10,1,243.0
10,2,190.0
10,3,174.0
10,4,234.0
10,5,217.0
10,6,127.0
10,7,157.0
11,0,285.0
11,1,300.0
11,2,198.0
11,3,200.0
11,4,255.0
11,5,230.0
11,6,173.0
11,7,223.0
12,0,321.0
12,1,260.0
12,2,240.0
12,3,174.0
12,4,220.0
12,5,176.0
12,6,164.0
12,7,316.0
13,0,270.0
13,1,291.0
13,2,221.0
13,3,199.0
13,4,258.0
13,5,237.0
13,6,169.0
13,7,301.0
14,0,308.0
14,1,277.0
14,2,192.0
14,3,326.0
14,4,272.0
14,5,236.0
14,6,127.0
14,7,274.0
15,0,289.0
15,1,266.0
15,2,220.0
15,3,454.0
15,4,232.0
15,5,180.0
15,6,125.0
15,7,264.0
16,0,289.0
16,1,229.0
16,2,249.0
16,3,322.0
16,4,218.0
16,5,170.0
16,6,135.0
16,7,230.0
17,0,310.0
17,1,304.0
17,2,211.0
17,3,221.0
17,4,221.0
17,5,211.0
17,6,181.0
17,7,265.0
18,0,237.0
18,1,234.0
18,2,239.0
18,3,230.0
18,4,209.0
18,5,208.0
18,6,168.0
18,7,227.0
19,0,242.0
19,1,218.0
19,2,263.0
19,3,260.0
19,4,223.0
19,5,363.0
19,6,147.0
19,7,146.0
20,0,253.0
20,1,306.0
20,2,317.0
20,3,405.0
20,4,283.0
20,5,350.0
20,6,182.0
20,7,2.0
21,0,385.0
21,1,258.0
21,2,256.0
21,3,277.0
21,4,561.0
21,5,244.0
21,6,305.0
21,7,232.0
22,0,602.0
22,1,295.0
22,2,343.0
22,3,303.0
22,4,426.0
22,5,271.0
22,6,319.0
22,7,283.0
23,0,825.0
23,1,343.0
23,2,317.0
23,3,349.0
23,4,402.0
23,5,274.0
23,6,263.0
23,7,293.0
