hour,day,value
1AM,0,0.0
1AM,1,7.0
1AM,2,1.0
1AM,3,1.0
1AM,4,2.0
1AM,5,2.0
1AM,6,1.0
1AM,7,3.0
2AM,0,0.0
2AM,1,11.0
2AM,2,1.0
2AM,3,1.0
2AM,4,0.0
2AM,5,0.0
2AM,6,0.0
2AM,7,0.0
3AM,0,1.0
3AM,1,2.0
3AM,2,1.0
3AM,3,1.0
3AM,4,1.0
3AM,5,0.0
3AM,6,0.0
3AM,7,0.0
4AM,0,1.0
4AM,1,2.0
4AM,2,1.0
4AM,3,0.0
4AM,4,0.0
4AM,5,0.0
4AM,6,2.0
4AM,7,0.0
5AM,0,0.0
5AM,1,2.0
5AM,2,0.0
5AM,3,0.0
5AM,4,0.0
5AM,5,0.0
5AM,6,0.0
5AM,7,0.0
6AM,0,0.0
6AM,1,1.0
6AM,2,0.0
6AM,3,0.0
6AM,4,0.0
6AM,5,0.0
6AM,6,0.0
6AM,7,0.0
7AM,0,0.0
7AM,1,3.0
7AM,2,0.0
7AM,3,0.0
7AM,4,0.0
7AM,5,0.0
7AM,6,0.0
7AM,7,1.0
8AM,0,1.0
8AM,1,3.0
8AM,2,1.0
8AM,3,0.0
8AM,4,0.0
8AM,5,0.0
8AM,6,3.0
8AM,7,1.0
9AM,0,0.0
9AM,1,3.0
9AM,2,1.0
9AM,3,1.0
9AM,4,0.0
9AM,5,0.0
9AM,6,6.0
9AM,7,1.0
10AM,0,1.0
10AM,1,3.0
10AM,2,0.0
10AM,3,2.0
10AM,4,0.0
10AM,5,0.0
10AM,6,0.0
10AM,7,0.0
11AM,0,3.0
11AM,1,4.0
11AM,2,1.0
11AM,3,3.0
11AM,4,0.0
11AM,5,0.0
11AM,6,1.0
11AM,7,0.0
12PM,0,7.0
12PM,1,5.0
12PM,2,0.0
12PM,3,1.0
12PM,4,0.0
12PM,5,0.0
12PM,6,1.0
12PM,7,2.0
1PM,0,14.0
1PM,1,4.0
1PM,2,1.0
1PM,3,0.0
1PM,4,2.0
1PM,5,0.0
1PM,6,5.0
1PM,7,1.0
2PM,0,8.0
2PM,1,8.0
2PM,2,1.0
2PM,3,0.0
2PM,4,1.0
2PM,5,0.0
2PM,6,1.0
2PM,7,0.0
3PM,0,30.0
3PM,1,8.0
3PM,2,4.0
3PM,3,0.0
3PM,4,0.0
3PM,5,0.0
3PM,6,2.0
3PM,7,1.0
4PM,0,30.0
4PM,1,11.0
4PM,2,2.0
4PM,3,0.0
4PM,4,1.0
4PM,5,1.0
4PM,6,1.0
4PM,7,2.0
5PM,0,22.0
5PM,1,11.0
5PM,2,0.0
5PM,3,0.0
5PM,4,1.0
5PM,5,0.0
5PM,6,3.0
5PM,7,1.0
6PM,0,14.0
6PM,1,9.0
6PM,2,1.0
6PM,3,1.0
6PM,4,0.0
6PM,5,0.0
6PM,6,0.0
6PM,7,1.0
7PM,0,12.0
7PM,1,3.0
7PM,2,2.0
7PM,3,0.0
7PM,4,0.0
7PM,5,0.0
7PM,6,0.0
7PM,7,6.0
8PM,0,12.0
8PM,1,4.0
8PM,2,7.0
8PM,3,0.0
8PM,4,0.0
8PM,5,1.0
8PM,6,2.0
8PM,7,4.0
9PM,0,19.0
9PM,1,2.0
9PM,2,0.0
9PM,3,1.0
9PM,4,0.0
9PM,5,8.0
9PM,6,0.0
9PM,7,0.0
10PM,0,2.0
10PM,1,17.0
10PM,2,1.0
10PM,3,2.0
10PM,4,1.0
10PM,5,0.0
10PM,6,5.0
10PM,7,2.0
11PM,0,0.0
11PM,1,13.0
11PM,2,2.0
11PM,3,3.0
11PM,4,0.0
11PM,5,0.0
11PM,6,2.0
11PM,7,1.0
12AM,0,0.0
12AM,1,12.0
12AM,2,1.0
12AM,3,1.0
12AM,4,0.0
12AM,5,0.0
12AM,6,4.0
12AM,7,1.0
