hour,day,value
0,0,73.0
0,1,70.0
0,2,96.0
0,3,97.0
0,4,99.0
0,5,138.0
0,6,134.0
0,7,128.0
1,0,128.0
1,1,77.0
1,2,67.0
1,3,78.0
1,4,83.0
1,5,86.0
1,6,97.0
1,7,107.0
2,0,56.0
2,1,46.0
2,2,70.0
2,3,67.0
2,4,43.0
2,5,46.0
2,6,73.0
2,7,73.0
3,0,37.0
3,1,24.0
3,2,26.0
3,3,29.0
3,4,26.0
3,5,48.0
3,6,56.0
3,7,39.0
4,0,24.0
4,1,13.0
4,2,25.0
4,3,13.0
4,4,21.0
4,5,36.0
4,6,37.0
4,7,24.0
5,0,21.0
5,1,7.0
5,2,18.0
5,3,17.0
5,4,28.0
5,5,11.0
5,6,13.0
5,7,23.0
6,0,30.0
6,1,10.0
6,2,24.0
6,3,31.0
6,4,21.0
6,5,30.0
6,6,21.0
6,7,17.0
7,0,40.0
7,1,30.0
7,2,39.0
7,3,29.0
7,4,42.0
7,5,40.0
7,6,28.0
7,7,24.0
8,0,43.0
8,1,33.0
8,2,49.0
8,3,44.0
8,4,57.0
8,5,75.0
8,6,47.0
8,7,38.0
9,0,72.0
9,1,30.0
9,2,60.0
9,3,71.0
9,4,82.0
9,5,83.0
9,6,60.0
9,7,52.0
10,0,70.0
10,1,45.0
10,2,52.0
10,3,68.0
10,4,117.0
10,5,82.0
10,6,50.0
10,7,76.0
11,0,87.0
11,1,57.0
11,2,55.0
11,3,66.0
11,4,120.0
11,5,85.0
11,6,63.0
11,7,82.0
12,0,91.0
12,1,66.0
12,2,61.0
12,3,64.0
12,4,148.0
12,5,107.0
12,6,108.0
12,7,104.0
13,0,85.0
13,1,73.0
13,2,45.0
13,3,55.0
13,4,113.0
13,5,116.0
13,6,165.0
13,7,85.0
14,0,86.0
14,1,71.0
14,2,89.0
14,3,90.0
14,4,145.0
14,5,115.0
14,6,123.0
14,7,83.0
15,0,94.0
15,1,71.0
15,2,62.0
15,3,81.0
15,4,121.0
15,5,119.0
15,6,112.0
15,7,72.0
16,0,72.0
16,1,62.0
16,2,50.0
16,3,72.0
16,4,96.0
16,5,99.0
16,6,93.0
16,7,68.0
17,0,93.0
17,1,63.0
17,2,68.0
17,3,58.0
17,4,128.0
17,5,95.0
17,6,87.0
17,7,90.0
18,0,94.0
18,1,75.0
18,2,84.0
18,3,72.0
18,4,107.0
18,5,87.0
18,6,116.0
18,7,107.0
19,0,84.0
19,1,118.0
19,2,62.0
19,3,85.0
19,4,110.0
19,5,116.0
19,6,111.0
19,7,65.0
20,0,83.0
20,1,116.0
20,2,134.0
20,3,67.0
20,4,148.0
20,5,131.0
20,6,118.0
20,7,0.0
21,0,100.0
21,1,90.0
21,2,112.0
21,3,104.0
21,4,84.0
21,5,147.0
21,6,183.0
21,7,118.0
22,0,80.0
22,1,99.0
22,2,132.0
22,3,155.0
22,4,111.0
22,5,144.0
22,6,168.0
22,7,115.0
23,0,93.0
23,1,104.0
23,2,120.0
23,3,117.0
23,4,125.0
23,5,168.0
23,6,174.0
23,7,128.0
