hour,day,value
0,0,446.0
0,1,355.0
0,2,302.0
0,3,320.0
0,4,550.0
0,5,392.0
0,6,306.0
0,7,368.0
1,0,320.0
1,1,261.0
1,2,223.0
1,3,216.0
1,4,357.0
1,5,273.0
1,6,280.0
1,7,288.0
2,0,212.0
2,1,151.0
2,2,163.0
2,3,189.0
2,4,229.0
2,5,157.0
2,6,178.0
2,7,174.0
3,0,154.0
3,1,113.0
3,2,79.0
3,3,121.0
3,4,192.0
3,5,118.0
3,6,99.0
3,7,127.0
4,0,76.0
4,1,54.0
4,2,70.0
4,3,77.0
4,4,99.0
4,5,74.0
4,6,49.0
4,7,74.0
5,0,71.0
5,1,49.0
5,2,71.0
5,3,52.0
5,4,102.0
5,5,46.0
5,6,40.0
5,7,54.0
6,0,114.0
6,1,74.0
6,2,63.0
6,3,91.0
6,4,122.0
6,5,96.0
6,6,73.0
6,7,79.0
7,0,120.0
7,1,130.0
7,2,84.0
7,3,113.0
7,4,210.0
7,5,146.0
7,6,113.0
7,7,84.0
8,0,155.0
8,1,142.0
8,2,209.0
8,3,181.0
8,4,237.0
8,5,235.0
8,6,157.0
8,7,113.0
9,0,166.0
9,1,159.0
9,2,281.0
9,3,219.0
9,4,332.0
9,5,265.0
9,6,211.0
9,7,162.0
10,0,321.0
10,1,188.0
10,2,279.0
10,3,253.0
10,4,463.0
10,5,276.0
10,6,231.0
10,7,204.0
11,0,328.0
11,1,279.0
11,2,311.0
11,3,317.0
11,4,415.0
11,5,289.0
11,6,454.0
11,7,227.0
12,0,399.0
12,1,230.0
12,2,253.0
12,3,284.0
12,4,424.0
12,5,227.0
12,6,376.0
12,7,281.0
13,0,418.0
13,1,278.0
13,2,291.0
13,3,312.0
13,4,433.0
13,5,321.0
13,6,408.0
13,7,291.0
14,0,456.0
14,1,264.0
14,2,259.0
14,3,304.0
14,4,459.0
14,5,316.0
14,6,460.0
14,7,259.0
15,0,404.0
15,1,309.0
15,2,281.0
15,3,279.0
15,4,424.0
15,5,317.0
15,6,337.0
15,7,286.0
16,0,371.0
16,1,268.0
16,2,236.0
16,3,304.0
16,4,329.0
16,5,256.0
16,6,551.0
16,7,235.0
17,0,391.0
17,1,252.0
17,2,258.0
17,3,276.0
17,4,331.0
17,5,239.0
17,6,355.0
17,7,272.0
18,0,352.0
18,1,235.0
18,2,266.0
18,3,249.0
18,4,391.0
18,5,257.0
18,6,356.0
18,7,273.0
19,0,363.0
19,1,313.0
19,2,304.0
19,3,270.0
19,4,402.0
19,5,222.0
19,6,331.0
19,7,178.0
20,0,388.0
20,1,292.0
20,2,331.0
20,3,289.0
20,4,452.0
20,5,239.0
20,6,303.0
20,7,1.0
21,0,439.0
21,1,390.0
21,2,484.0
21,3,355.0
21,4,413.0
21,5,498.0
21,6,308.0
21,7,323.0
22,0,413.0
22,1,374.0
22,2,432.0
22,3,367.0
22,4,444.0
22,5,453.0
22,6,359.0
22,7,319.0
23,0,456.0
23,1,384.0
23,2,390.0
23,3,340.0
23,4,513.0
23,5,522.0
23,6,331.0
23,7,424.0
