hour,day,value
1AM,0,66.0
1AM,1,53.0
1AM,2,36.0
1AM,3,41.0
1AM,4,50.0
1AM,5,115.0
1AM,6,42.0
1AM,7,42.0
2AM,0,54.0
2AM,1,54.0
2AM,2,23.0
2AM,3,102.0
2AM,4,29.0
2AM,5,89.0
2AM,6,48.0
2AM,7,33.0
3AM,0,30.0
3AM,1,19.0
3AM,2,20.0
3AM,3,47.0
3AM,4,22.0
3AM,5,60.0
3AM,6,29.0
3AM,7,28.0
4AM,0,37.0
4AM,1,15.0
4AM,2,17.0
4AM,3,30.0
4AM,4,6.0
4AM,5,41.0
4AM,6,26.0
4AM,7,12.0
5AM,0,9.0
5AM,1,17.0
5AM,2,6.0
5AM,3,18.0
5AM,4,7.0
5AM,5,32.0
5AM,6,21.0
5AM,7,10.0
6AM,0,13.0
6AM,1,5.0
6AM,2,7.0
6AM,3,14.0
6AM,4,7.0
6AM,5,13.0
6AM,6,9.0
6AM,7,5.0
7AM,0,4.0
7AM,1,13.0
7AM,2,10.0
7AM,3,36.0
7AM,4,9.0
7AM,5,26.0
7AM,6,11.0
7AM,7,3.0
8AM,0,12.0
8AM,1,18.0
8AM,2,11.0
8AM,3,40.0
8AM,4,12.0
8AM,5,42.0
8AM,6,17.0
8AM,7,7.0
9AM,0,23.0
9AM,1,26.0
9AM,2,29.0
9AM,3,59.0
9AM,4,14.0
9AM,5,66.0
9AM,6,25.0
9AM,7,13.0
10AM,0,26.0
10AM,1,18.0
10AM,2,49.0
10AM,3,44.0
10AM,4,30.0
10AM,5,42.0
10AM,6,40.0
10AM,7,20.0
11AM,0,26.0
11AM,1,28.0
11AM,2,24.0
11AM,3,42.0
11AM,4,33.0
11AM,5,63.0
11AM,6,36.0
11AM,7,26.0
12PM,0,43.0
12PM,1,28.0
12PM,2,32.0
12PM,3,47.0
12PM,4,19.0
12PM,5,38.0
12PM,6,47.0
12PM,7,33.0
1PM,0,29.0
1PM,1,37.0
1PM,2,35.0
1PM,3,37.0
1PM,4,23.0
1PM,5,53.0
1PM,6,30.0
1PM,7,51.0
2PM,0,33.0
2PM,1,52.0
2PM,2,49.0
2PM,3,39.0
2PM,4,42.0
2PM,5,52.0
2PM,6,25.0
2PM,7,58.0
3PM,0,22.0
3PM,1,46.0
3PM,2,35.0
3PM,3,56.0
3PM,4,30.0
3PM,5,47.0
3PM,6,51.0
3PM,7,43.0
4PM,0,51.0
4PM,1,39.0
4PM,2,45.0
4PM,3,35.0
4PM,4,41.0
4PM,5,43.0
4PM,6,34.0
4PM,7,59.0
5PM,0,37.0
5PM,1,27.0
5PM,2,49.0
5PM,3,28.0
5PM,4,48.0
5PM,5,31.0
5PM,6,32.0
5PM,7,39.0
6PM,0,29.0
6PM,1,56.0
6PM,2,59.0
6PM,3,48.0
6PM,4,59.0
6PM,5,27.0
6PM,6,28.0
6PM,7,44.0
7PM,0,37.0
7PM,1,56.0
7PM,2,67.0
7PM,3,31.0
7PM,4,46.0
7PM,5,49.0
7PM,6,25.0
7PM,7,44.0
8PM,0,44.0
8PM,1,54.0
8PM,2,53.0
8PM,3,38.0
8PM,4,60.0
8PM,5,42.0
8PM,6,33.0
8PM,7,33.0
9PM,0,72.0
9PM,1,49.0
9PM,2,42.0
9PM,3,52.0
9PM,4,36.0
9PM,5,77.0
9PM,6,38.0
9PM,7,1.0
10PM,0,65.0
10PM,1,68.0
10PM,2,37.0
10PM,3,37.0
10PM,4,72.0
10PM,5,32.0
10PM,6,87.0
10PM,7,56.0
11PM,0,101.0
11PM,1,116.0
11PM,2,69.0
11PM,3,53.0
11PM,4,43.0
11PM,5,201.0
11PM,6,93.0
11PM,7,31.0
12AM,0,81.0
12AM,1,105.0
12AM,2,70.0
12AM,3,62.0
12AM,4,40.0
12AM,5,153.0
12AM,6,45.0
12AM,7,53.0
