hour,day,value
0,0,28.0
0,1,20.0
0,2,26.0
0,3,16.0
0,4,47.0
0,5,51.0
0,6,23.0
0,7,15.0
1,0,13.0
1,1,9.0
1,2,16.0
1,3,9.0
1,4,23.0
1,5,28.0
1,6,15.0
1,7,13.0
2,0,3.0
2,1,7.0
2,2,8.0
2,3,5.0
2,4,22.0
2,5,22.0
2,6,14.0
2,7,15.0
3,0,6.0
3,1,7.0
3,2,3.0
3,3,9.0
3,4,8.0
3,5,2.0
3,6,8.0
3,7,3.0
4,0,4.0
4,1,6.0
4,2,3.0
4,3,1.0
4,4,8.0
4,5,3.0
4,6,4.0
4,7,3.0
5,0,1.0
5,1,5.0
5,2,4.0
5,3,3.0
5,4,9.0
5,5,4.0
5,6,6.0
5,7,2.0
6,0,4.0
6,1,5.0
6,2,10.0
6,3,10.0
6,4,23.0
6,5,14.0
6,6,2.0
6,7,3.0
7,0,3.0
7,1,2.0
7,2,15.0
7,3,8.0
7,4,11.0
7,5,29.0
7,6,15.0
7,7,11.0
8,0,4.0
8,1,11.0
8,2,22.0
8,3,11.0
8,4,16.0
8,5,33.0
8,6,12.0
8,7,17.0
9,0,3.0
9,1,11.0
9,2,21.0
9,3,11.0
9,4,28.0
9,5,55.0
9,6,18.0
9,7,10.0
10,0,8.0
10,1,14.0
10,2,14.0
10,3,15.0
10,4,30.0
10,5,73.0
10,6,14.0
10,7,20.0
11,0,7.0
11,1,22.0
11,2,21.0
11,3,23.0
11,4,58.0
11,5,77.0
11,6,19.0
11,7,42.0
12,0,36.0
12,1,15.0
12,2,36.0
12,3,17.0
12,4,56.0
12,5,24.0
12,6,10.0
12,7,23.0
13,0,35.0
13,1,16.0
13,2,13.0
13,3,10.0
13,4,42.0
13,5,43.0
13,6,15.0
13,7,20.0
14,0,20.0
14,1,34.0
14,2,15.0
14,3,14.0
14,4,64.0
14,5,29.0
14,6,25.0
14,7,20.0
15,0,19.0
15,1,37.0
15,2,25.0
15,3,15.0
15,4,64.0
15,5,41.0
15,6,5.0
15,7,18.0
16,0,20.0
16,1,33.0
16,2,30.0
16,3,20.0
16,4,61.0
16,5,28.0
16,6,18.0
16,7,11.0
17,0,22.0
17,1,41.0
17,2,40.0
17,3,17.0
17,4,70.0
17,5,45.0
17,6,13.0
17,7,10.0
18,0,23.0
18,1,22.0
18,2,57.0
18,3,19.0
18,4,52.0
18,5,31.0
18,6,29.0
18,7,11.0
19,0,36.0
19,1,41.0
19,2,42.0
19,3,19.0
19,4,52.0
19,5,42.0
19,6,22.0
19,7,6.0
20,0,25.0
20,1,46.0
20,2,47.0
20,3,169.0
20,4,60.0
20,5,118.0
20,6,19.0
20,7,0.0
21,0,6.0
21,1,11.0
21,2,36.0
21,3,36.0
21,4,197.0
21,5,52.0
21,6,81.0
21,7,44.0
22,0,15.0
22,1,20.0
22,2,38.0
22,3,31.0
22,4,90.0
22,5,77.0
22,6,46.0
22,7,25.0
23,0,12.0
23,1,32.0
23,2,39.0
23,3,26.0
23,4,38.0
23,5,73.0
23,6,42.0
23,7,27.0
