hour,day,value
0,0,7.0
0,1,8.0
0,2,14.0
0,3,4.0
0,4,12.0
0,5,21.0
0,6,9.0
0,7,4.0
1,0,9.0
1,1,5.0
1,2,8.0
1,3,0.0
1,4,7.0
1,5,16.0
1,6,9.0
1,7,4.0
2,0,2.0
2,1,5.0
2,2,6.0
2,3,1.0
2,4,4.0
2,5,8.0
2,6,8.0
2,7,2.0
3,0,1.0
3,1,1.0
3,2,2.0
3,3,3.0
3,4,2.0
3,5,0.0
3,6,1.0
3,7,0.0
4,0,2.0
4,1,2.0
4,2,1.0
4,3,0.0
4,4,2.0
4,5,1.0
4,6,3.0
4,7,2.0
5,0,0.0
5,1,1.0
5,2,2.0
5,3,0.0
5,4,2.0
5,5,2.0
5,6,4.0
5,7,2.0
6,0,1.0
6,1,4.0
6,2,5.0
6,3,0.0
6,4,8.0
6,5,0.0
6,6,2.0
6,7,2.0
7,0,1.0
7,1,2.0
7,2,6.0
7,3,2.0
7,4,4.0
7,5,10.0
7,6,7.0
7,7,4.0
8,0,1.0
8,1,5.0
8,2,15.0
8,3,2.0
8,4,5.0
8,5,15.0
8,6,7.0
8,7,4.0
9,0,2.0
9,1,2.0
9,2,12.0
9,3,6.0
9,4,9.0
9,5,25.0
9,6,7.0
9,7,5.0
10,0,3.0
10,1,5.0
10,2,7.0
10,3,4.0
10,4,10.0
10,5,26.0
10,6,5.0
10,7,7.0
11,0,2.0
11,1,9.0
11,2,12.0
11,3,12.0
11,4,17.0
11,5,40.0
11,6,5.0
11,7,17.0
12,0,30.0
12,1,6.0
12,2,17.0
12,3,5.0
12,4,12.0
12,5,18.0
12,6,5.0
12,7,9.0
13,0,25.0
13,1,6.0
13,2,10.0
13,3,5.0
13,4,12.0
13,5,28.0
13,6,9.0
13,7,5.0
14,0,13.0
14,1,12.0
14,2,7.0
14,3,6.0
14,4,32.0
14,5,19.0
14,6,9.0
14,7,4.0
15,0,12.0
15,1,6.0
15,2,10.0
15,3,7.0
15,4,32.0
15,5,18.0
15,6,1.0
15,7,1.0
16,0,9.0
16,1,18.0
16,2,11.0
16,3,6.0
16,4,32.0
16,5,13.0
16,6,5.0
16,7,3.0
17,0,7.0
17,1,26.0
17,2,18.0
17,3,4.0
17,4,41.0
17,5,28.0
17,6,2.0
17,7,5.0
18,0,8.0
18,1,4.0
18,2,9.0
18,3,13.0
18,4,28.0
18,5,15.0
18,6,7.0
18,7,2.0
19,0,14.0
19,1,13.0
19,2,13.0
19,3,8.0
19,4,20.0
19,5,17.0
19,6,7.0
19,7,0.0
20,0,12.0
20,1,29.0
20,2,22.0
20,3,20.0
20,4,26.0
20,5,41.0
20,6,3.0
20,7,0.0
21,0,1.0
21,1,6.0
21,2,15.0
21,3,9.0
21,4,30.0
21,5,15.0
21,6,26.0
21,7,18.0
22,0,3.0
22,1,5.0
22,2,17.0
22,3,12.0
22,4,17.0
22,5,14.0
22,6,25.0
22,7,12.0
23,0,2.0
23,1,25.0
23,2,22.0
23,3,12.0
23,4,9.0
23,5,32.0
23,6,22.0
23,7,10.0
