hour,day,value
0,0,7.0
0,1,3.0
0,2,5.0
0,3,7.0
0,4,20.0
0,5,9.0
0,6,4.0
0,7,7.0
1,0,8.0
1,1,1.0
1,2,6.0
1,3,4.0
1,4,5.0
1,5,12.0
1,6,7.0
1,7,5.0
2,0,1.0
2,1,1.0
2,2,3.0
2,3,1.0
2,4,3.0
2,5,1.0
2,6,1.0
2,7,4.0
3,0,1.0
3,1,0.0
3,2,6.0
3,3,0.0
3,4,0.0
3,5,2.0
3,6,2.0
3,7,0.0
4,0,2.0
4,1,1.0
4,2,4.0
4,3,3.0
4,4,1.0
4,5,1.0
4,6,0.0
4,7,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,1.0
6,0,0.0
6,1,1.0
6,2,9.0
6,3,4.0
6,4,3.0
6,5,1.0
6,6,1.0
6,7,2.0
7,0,1.0
7,1,1.0
7,2,16.0
7,3,6.0
7,4,1.0
7,5,6.0
7,6,1.0
7,7,2.0
8,0,2.0
8,1,1.0
8,2,18.0
8,3,4.0
8,4,4.0
8,5,5.0
8,6,2.0
8,7,1.0
9,0,1.0
9,1,0.0
9,2,13.0
9,3,6.0
9,4,1.0
9,5,8.0
9,6,3.0
9,7,1.0
10,0,3.0
10,1,2.0
10,2,7.0
10,3,6.0
10,4,7.0
10,5,28.0
10,6,7.0
10,7,6.0
11,0,0.0
11,1,15.0
11,2,5.0
11,3,11.0
11,4,13.0
11,5,14.0
11,6,7.0
11,7,20.0
12,0,4.0
12,1,10.0
12,2,9.0
12,3,5.0
12,4,5.0
12,5,15.0
12,6,6.0
12,7,11.0
13,0,3.0
13,1,15.0
13,2,8.0
13,3,3.0
13,4,8.0
13,5,16.0
13,6,6.0
13,7,14.0
14,0,1.0
14,1,10.0
14,2,15.0
14,3,1.0
14,4,17.0
14,5,3.0
14,6,4.0
14,7,5.0
15,0,3.0
15,1,7.0
15,2,15.0
15,3,6.0
15,4,9.0
15,5,4.0
15,6,2.0
15,7,2.0
16,0,10.0
16,1,6.0
16,2,23.0
16,3,1.0
16,4,9.0
16,5,9.0
16,6,3.0
16,7,2.0
17,0,4.0
17,1,22.0
17,2,9.0
17,3,5.0
17,4,15.0
17,5,8.0
17,6,2.0
17,7,3.0
18,0,3.0
18,1,9.0
18,2,13.0
18,3,5.0
18,4,9.0
18,5,7.0
18,6,2.0
18,7,7.0
19,0,0.0
19,1,12.0
19,2,11.0
19,3,9.0
19,4,14.0
19,5,21.0
19,6,6.0
19,7,8.0
20,0,3.0
20,1,19.0
20,2,25.0
20,3,70.0
20,4,19.0
20,5,17.0
20,6,7.0
20,7,0.0
21,0,6.0
21,1,2.0
21,2,13.0
21,3,14.0
21,4,87.0
21,5,9.0
21,6,33.0
21,7,42.0
22,0,6.0
22,1,5.0
22,2,29.0
22,3,12.0
22,4,40.0
22,5,32.0
22,6,7.0
22,7,7.0
23,0,8.0
23,1,0.0
23,2,24.0
23,3,9.0
23,4,17.0
23,5,21.0
23,6,13.0
23,7,10.0
