hour,day,value
1AM,0,75.0
1AM,1,61.0
1AM,2,58.0
1AM,3,23.0
1AM,4,35.0
1AM,5,52.0
1AM,6,35.0
1AM,7,26.0
2AM,0,124.0
2AM,1,79.0
2AM,2,53.0
2AM,3,25.0
2AM,4,35.0
2AM,5,34.0
2AM,6,16.0
2AM,7,30.0
3AM,0,80.0
3AM,1,25.0
3AM,2,31.0
3AM,3,11.0
3AM,4,22.0
3AM,5,30.0
3AM,6,21.0
3AM,7,13.0
4AM,0,54.0
4AM,1,18.0
4AM,2,16.0
4AM,3,12.0
4AM,4,12.0
4AM,5,21.0
4AM,6,13.0
4AM,7,24.0
5AM,0,37.0
5AM,1,21.0
5AM,2,9.0
5AM,3,5.0
5AM,4,8.0
5AM,5,9.0
5AM,6,9.0
5AM,7,5.0
6AM,0,28.0
6AM,1,18.0
6AM,2,4.0
6AM,3,5.0
6AM,4,4.0
6AM,5,7.0
6AM,6,7.0
6AM,7,14.0
7AM,0,16.0
7AM,1,13.0
7AM,2,11.0
7AM,3,10.0
7AM,4,11.0
7AM,5,11.0
7AM,6,5.0
7AM,7,7.0
8AM,0,27.0
8AM,1,21.0
8AM,2,13.0
8AM,3,8.0
8AM,4,8.0
8AM,5,21.0
8AM,6,14.0
8AM,7,8.0
9AM,0,59.0
9AM,1,17.0
9AM,2,16.0
9AM,3,17.0
9AM,4,7.0
9AM,5,19.0
9AM,6,16.0
9AM,7,25.0
10AM,0,84.0
10AM,1,21.0
10AM,2,21.0
10AM,3,24.0
10AM,4,18.0
10AM,5,15.0
10AM,6,29.0
10AM,7,25.0
11AM,0,120.0
11AM,1,37.0
11AM,2,20.0
11AM,3,36.0
11AM,4,20.0
11AM,5,24.0
11AM,6,15.0
11AM,7,39.0
12PM,0,90.0
12PM,1,32.0
12PM,2,37.0
12PM,3,22.0
12PM,4,41.0
12PM,5,29.0
12PM,6,25.0
12PM,7,30.0
1PM,0,100.0
1PM,1,36.0
1PM,2,28.0
1PM,3,18.0
1PM,4,35.0
1PM,5,20.0
1PM,6,23.0
1PM,7,21.0
2PM,0,78.0
2PM,1,47.0
2PM,2,33.0
2PM,3,25.0
2PM,4,48.0
2PM,5,45.0
2PM,6,33.0
2PM,7,32.0
3PM,0,92.0
3PM,1,51.0
3PM,2,47.0
3PM,3,34.0
3PM,4,51.0
3PM,5,24.0
3PM,6,32.0
3PM,7,37.0
4PM,0,81.0
4PM,1,44.0
4PM,2,30.0
4PM,3,31.0
4PM,4,47.0
4PM,5,17.0
4PM,6,15.0
4PM,7,49.0
5PM,0,57.0
5PM,1,42.0
5PM,2,27.0
5PM,3,21.0
5PM,4,36.0
5PM,5,38.0
5PM,6,22.0
5PM,7,27.0
6PM,0,65.0
6PM,1,48.0
6PM,2,24.0
6PM,3,23.0
6PM,4,28.0
6PM,5,31.0
6PM,6,19.0
6PM,7,40.0
7PM,0,46.0
7PM,1,35.0
7PM,2,41.0
7PM,3,47.0
7PM,4,46.0
7PM,5,27.0
7PM,6,32.0
7PM,7,36.0
8PM,0,60.0
8PM,1,37.0
8PM,2,31.0
8PM,3,18.0
8PM,4,53.0
8PM,5,31.0
8PM,6,31.0
8PM,7,16.0
9PM,0,70.0
9PM,1,54.0
9PM,2,32.0
9PM,3,46.0
9PM,4,73.0
9PM,5,40.0
9PM,6,23.0
9PM,7,0.0
10PM,0,99.0
10PM,1,64.0
10PM,2,38.0
10PM,3,25.0
10PM,4,50.0
10PM,5,68.0
10PM,6,43.0
10PM,7,28.0
11PM,0,86.0
11PM,1,69.0
11PM,2,69.0
11PM,3,29.0
11PM,4,41.0
11PM,5,47.0
11PM,6,52.0
11PM,7,45.0
12AM,0,89.0
12AM,1,59.0
12AM,2,53.0
12AM,3,36.0
12AM,4,46.0
12AM,5,40.0
12AM,6,48.0
12AM,7,34.0
