hour,day,value
1AM,0,53.0
1AM,1,55.0
1AM,2,74.0
1AM,3,60.0
1AM,4,49.0
1AM,5,73.0
1AM,6,54.0
1AM,7,93.0
2AM,0,61.0
2AM,1,55.0
2AM,2,50.0
2AM,3,42.0
2AM,4,44.0
2AM,5,47.0
2AM,6,47.0
2AM,7,54.0
3AM,0,27.0
3AM,1,34.0
3AM,2,22.0
3AM,3,28.0
3AM,4,25.0
3AM,5,24.0
3AM,6,36.0
3AM,7,28.0
4AM,0,25.0
4AM,1,21.0
4AM,2,21.0
4AM,3,16.0
4AM,4,18.0
4AM,5,18.0
4AM,6,13.0
4AM,7,19.0
5AM,0,18.0
5AM,1,14.0
5AM,2,9.0
5AM,3,10.0
5AM,4,7.0
5AM,5,4.0
5AM,6,15.0
5AM,7,10.0
6AM,0,5.0
6AM,1,6.0
6AM,2,10.0
6AM,3,5.0
6AM,4,7.0
6AM,5,6.0
6AM,6,6.0
6AM,7,14.0
7AM,0,7.0
7AM,1,2.0
7AM,2,6.0
7AM,3,14.0
7AM,4,7.0
7AM,5,11.0
7AM,6,5.0
7AM,7,18.0
8AM,0,8.0
8AM,1,11.0
8AM,2,21.0
8AM,3,20.0
8AM,4,9.0
8AM,5,12.0
8AM,6,6.0
8AM,7,14.0
9AM,0,13.0
9AM,1,13.0
9AM,2,29.0
9AM,3,21.0
9AM,4,21.0
9AM,5,24.0
9AM,6,27.0
9AM,7,22.0
10AM,0,23.0
10AM,1,21.0
10AM,2,36.0
10AM,3,32.0
10AM,4,17.0
10AM,5,24.0
10AM,6,34.0
10AM,7,24.0
11AM,0,42.0
11AM,1,26.0
11AM,2,14.0
11AM,3,24.0
11AM,4,29.0
11AM,5,39.0
11AM,6,24.0
11AM,7,40.0
12PM,0,46.0
12PM,1,24.0
12PM,2,33.0
12PM,3,24.0
12PM,4,37.0
12PM,5,31.0
12PM,6,32.0
12PM,7,63.0
1PM,0,40.0
1PM,1,22.0
1PM,2,40.0
1PM,3,23.0
1PM,4,27.0
1PM,5,39.0
1PM,6,20.0
1PM,7,42.0
2PM,0,42.0
2PM,1,12.0
2PM,2,35.0
2PM,3,45.0
2PM,4,51.0
2PM,5,27.0
2PM,6,35.0
2PM,7,45.0
3PM,0,52.0
3PM,1,30.0
3PM,2,31.0
3PM,3,44.0
3PM,4,32.0
3PM,5,40.0
3PM,6,46.0
3PM,7,47.0
4PM,0,56.0
4PM,1,15.0
4PM,2,43.0
4PM,3,36.0
4PM,4,40.0
4PM,5,32.0
4PM,6,36.0
4PM,7,42.0
5PM,0,31.0
5PM,1,26.0
5PM,2,45.0
5PM,3,37.0
5PM,4,42.0
5PM,5,31.0
5PM,6,26.0
5PM,7,42.0
6PM,0,37.0
6PM,1,23.0
6PM,2,29.0
6PM,3,28.0
6PM,4,54.0
6PM,5,34.0
6PM,6,36.0
6PM,7,41.0
7PM,0,29.0
7PM,1,27.0
7PM,2,40.0
7PM,3,31.0
7PM,4,52.0
7PM,5,35.0
7PM,6,51.0
7PM,7,105.0
8PM,0,44.0
8PM,1,25.0
8PM,2,34.0
8PM,3,38.0
8PM,4,65.0
8PM,5,28.0
8PM,6,49.0
8PM,7,40.0
9PM,0,52.0
9PM,1,43.0
9PM,2,65.0
9PM,3,42.0
9PM,4,58.0
9PM,5,30.0
9PM,6,64.0
9PM,7,0.0
10PM,0,51.0
10PM,1,46.0
10PM,2,37.0
10PM,3,59.0
10PM,4,53.0
10PM,5,42.0
10PM,6,60.0
10PM,7,73.0
11PM,0,65.0
11PM,1,38.0
11PM,2,56.0
11PM,3,58.0
11PM,4,53.0
11PM,5,76.0
11PM,6,69.0
11PM,7,117.0
12AM,0,56.0
12AM,1,56.0
12AM,2,61.0
12AM,3,52.0
12AM,4,49.0
12AM,5,70.0
12AM,6,49.0
12AM,7,99.0
