hour,day,value
1AM,0,46.0
1AM,1,65.0
1AM,2,65.0
1AM,3,70.0
1AM,4,61.0
1AM,5,95.0
1AM,6,62.0
1AM,7,41.0
2AM,0,44.0
2AM,1,34.0
2AM,2,42.0
2AM,3,34.0
2AM,4,51.0
2AM,5,47.0
2AM,6,28.0
2AM,7,30.0
3AM,0,25.0
3AM,1,23.0
3AM,2,19.0
3AM,3,23.0
3AM,4,40.0
3AM,5,24.0
3AM,6,30.0
3AM,7,30.0
4AM,0,9.0
4AM,1,9.0
4AM,2,8.0
4AM,3,13.0
4AM,4,12.0
4AM,5,25.0
4AM,6,9.0
4AM,7,9.0
5AM,0,7.0
5AM,1,8.0
5AM,2,9.0
5AM,3,2.0
5AM,4,11.0
5AM,5,8.0
5AM,6,5.0
5AM,7,10.0
6AM,0,2.0
6AM,1,2.0
6AM,2,1.0
6AM,3,6.0
6AM,4,8.0
6AM,5,8.0
6AM,6,3.0
6AM,7,3.0
7AM,0,2.0
7AM,1,2.0
7AM,2,7.0
7AM,3,3.0
7AM,4,14.0
7AM,5,20.0
7AM,6,3.0
7AM,7,6.0
8AM,0,8.0
8AM,1,10.0
8AM,2,20.0
8AM,3,13.0
8AM,4,30.0
8AM,5,20.0
8AM,6,6.0
8AM,7,9.0
9AM,0,11.0
9AM,1,10.0
9AM,2,21.0
9AM,3,17.0
9AM,4,45.0
9AM,5,38.0
9AM,6,17.0
9AM,7,18.0
10AM,0,19.0
10AM,1,22.0
10AM,2,21.0
10AM,3,17.0
10AM,4,63.0
10AM,5,30.0
10AM,6,33.0
10AM,7,17.0
11AM,0,26.0
11AM,1,19.0
11AM,2,21.0
11AM,3,25.0
11AM,4,64.0
11AM,5,47.0
11AM,6,33.0
11AM,7,31.0
12PM,0,17.0
12PM,1,26.0
12PM,2,35.0
12PM,3,30.0
12PM,4,85.0
12PM,5,31.0
12PM,6,39.0
12PM,7,25.0
1PM,0,36.0
1PM,1,33.0
1PM,2,31.0
1PM,3,37.0
1PM,4,69.0
1PM,5,70.0
1PM,6,38.0
1PM,7,35.0
2PM,0,53.0
2PM,1,41.0
2PM,2,44.0
2PM,3,51.0
2PM,4,89.0
2PM,5,40.0
2PM,6,37.0
2PM,7,23.0
3PM,0,52.0
3PM,1,47.0
3PM,2,44.0
3PM,3,51.0
3PM,4,81.0
3PM,5,53.0
3PM,6,46.0
3PM,7,37.0
4PM,0,47.0
4PM,1,31.0
4PM,2,40.0
4PM,3,58.0
4PM,4,74.0
4PM,5,47.0
4PM,6,22.0
4PM,7,35.0
5PM,0,36.0
5PM,1,25.0
5PM,2,27.0
5PM,3,44.0
5PM,4,73.0
5PM,5,41.0
5PM,6,22.0
5PM,7,27.0
6PM,0,35.0
6PM,1,29.0
6PM,2,33.0
6PM,3,47.0
6PM,4,50.0
6PM,5,27.0
6PM,6,27.0
6PM,7,26.0
7PM,0,38.0
7PM,1,24.0
7PM,2,35.0
7PM,3,60.0
7PM,4,53.0
7PM,5,39.0
7PM,6,33.0
7PM,7,23.0
8PM,0,35.0
8PM,1,30.0
8PM,2,35.0
8PM,3,46.0
8PM,4,52.0
8PM,5,56.0
8PM,6,19.0
8PM,7,13.0
9PM,0,35.0
9PM,1,34.0
9PM,2,60.0
9PM,3,42.0
9PM,4,78.0
9PM,5,55.0
9PM,6,26.0
9PM,7,0.0
10PM,0,34.0
10PM,1,43.0
10PM,2,45.0
10PM,3,58.0
10PM,4,75.0
10PM,5,62.0
10PM,6,61.0
10PM,7,30.0
11PM,0,41.0
11PM,1,54.0
11PM,2,61.0
11PM,3,81.0
11PM,4,57.0
11PM,5,65.0
11PM,6,69.0
11PM,7,79.0
12AM,0,48.0
12AM,1,53.0
12AM,2,72.0
12AM,3,78.0
12AM,4,67.0
12AM,5,79.0
12AM,6,58.0
12AM,7,58.0
