hour,day,value
0,0,5131.0
0,1,4398.0
0,2,5028.0
0,3,5030.0
0,4,5334.0
0,5,5807.0
0,6,5157.0
0,7,4521.0
1,0,4294.0
1,1,3401.0
1,2,3682.0
1,3,3533.0
1,4,3969.0
1,5,3947.0
1,6,4279.0
1,7,3837.0
2,0,2852.0
2,1,2151.0
2,2,2229.0
2,3,2361.0
2,4,2578.0
2,5,2379.0
2,6,2616.0
2,7,2412.0
3,0,1847.0
3,1,1357.0
3,2,1350.0
3,3,1457.0
3,4,1545.0
3,5,1508.0
3,6,1526.0
3,7,1426.0
4,0,1058.0
4,1,854.0
4,2,857.0
4,3,819.0
4,4,983.0
4,5,951.0
4,6,969.0
4,7,913.0
5,0,675.0
5,1,644.0
5,2,685.0
5,3,618.0
5,4,808.0
5,5,697.0
5,6,622.0
5,7,668.0
6,0,838.0
6,1,815.0
6,2,975.0
6,3,921.0
6,4,1092.0
6,5,996.0
6,6,969.0
6,7,808.0
7,0,1102.0
7,1,1247.0
7,2,1493.0
7,3,1629.0
7,4,1680.0
7,5,1814.0
7,6,1588.0
7,7,1211.0
8,0,1376.0
8,1,1686.0
8,2,1975.0
8,3,2218.0
8,4,2272.0
8,5,2648.0
8,6,2107.0
8,7,1532.0
9,0,1920.0
9,1,2132.0
9,2,2508.0
9,3,2462.0
9,4,2930.0
9,5,2819.0
9,6,2650.0
9,7,2067.0
10,0,2756.0
10,1,2579.0
10,2,2774.0
10,3,3105.0
10,4,3505.0
10,5,3325.0
10,6,2883.0
10,7,2701.0
11,0,3130.0
11,1,3348.0
11,2,3322.0
11,3,3547.0
11,4,3791.0
11,5,3582.0
11,6,3474.0
11,7,3274.0
12,0,3654.0
12,1,3331.0
12,2,3561.0
12,3,3848.0
12,4,4396.0
12,5,3572.0
12,6,3590.0
12,7,3868.0
13,0,3818.0
13,1,3904.0
13,2,4049.0
13,3,3891.0
13,4,4641.0
13,5,3957.0
13,6,3798.0
13,7,3708.0
14,0,3769.0
14,1,4166.0
14,2,4132.0
14,3,4241.0
14,4,4841.0
14,5,4215.0
14,6,3766.0
14,7,4046.0
15,0,3648.0
15,1,3914.0
15,2,4105.0
15,3,4128.0
15,4,4799.0
15,5,5041.0
15,6,2988.0
15,7,3647.0
16,0,3612.0
16,1,3642.0
16,2,4005.0
16,3,4003.0
16,4,4247.0
16,5,4262.0
16,6,3358.0
16,7,3473.0
17,0,3760.0
17,1,3602.0
17,2,3956.0
17,3,3873.0
17,4,3904.0
17,5,3878.0
17,6,3707.0
17,7,3587.0
18,0,3638.0
18,1,4137.0
18,2,4410.0
18,3,3987.0
18,4,4179.0
18,5,4130.0
18,6,3693.0
18,7,3732.0
19,0,3916.0
19,1,4711.0
19,2,4668.0
19,3,4079.0
19,4,4633.0
19,5,4249.0
19,6,3496.0
19,7,2340.0
20,0,4193.0
20,1,4881.0
20,2,4895.0
20,3,5066.0
20,4,4819.0
20,5,4529.0
20,6,3685.0
20,7,30.0
21,0,4220.0
21,1,4238.0
21,2,5098.0
21,3,4968.0
21,4,5860.0
21,5,5464.0
21,6,5326.0
21,7,4804.0
22,0,4926.0
22,1,4638.0
22,2,5545.0
22,3,5338.0
22,4,5721.0
22,5,5859.0
22,6,5752.0
22,7,4394.0
23,0,5262.0
23,1,4593.0
23,2,5604.0
23,3,5619.0
23,4,5811.0
23,5,6214.0
23,6,5497.0
23,7,4557.0
