hour,day,value
0,0,12.0
0,1,15.0
0,2,6.0
0,3,11.0
0,4,7.0
0,5,8.0
0,6,11.0
0,7,17.0
1,0,8.0
1,1,14.0
1,2,16.0
1,3,13.0
1,4,4.0
1,5,15.0
1,6,18.0
1,7,4.0
2,0,9.0
2,1,9.0
2,2,7.0
2,3,5.0
2,4,6.0
2,5,5.0
2,6,6.0
2,7,1.0
3,0,4.0
3,1,2.0
3,2,3.0
3,3,3.0
3,4,0.0
3,5,6.0
3,6,1.0
3,7,3.0
4,0,3.0
4,1,0.0
4,2,3.0
4,3,0.0
4,4,4.0
4,5,4.0
4,6,1.0
4,7,0.0
5,0,5.0
5,1,1.0
5,2,2.0
5,3,3.0
5,4,3.0
5,5,3.0
5,6,0.0
5,7,0.0
6,0,5.0
6,1,3.0
6,2,1.0
6,3,1.0
6,4,2.0
6,5,6.0
6,6,2.0
6,7,1.0
7,0,1.0
7,1,2.0
7,2,4.0
7,3,1.0
7,4,1.0
7,5,2.0
7,6,0.0
7,7,1.0
8,0,0.0
8,1,0.0
8,2,2.0
8,3,1.0
8,4,1.0
8,5,4.0
8,6,3.0
8,7,3.0
9,0,10.0
9,1,4.0
9,2,3.0
9,3,3.0
9,4,4.0
9,5,4.0
9,6,12.0
9,7,4.0
10,0,23.0
10,1,4.0
10,2,6.0
10,3,7.0
10,4,6.0
10,5,9.0
10,6,11.0
10,7,1.0
11,0,7.0
11,1,11.0
11,2,7.0
11,3,8.0
11,4,5.0
11,5,9.0
11,6,6.0
11,7,7.0
12,0,4.0
12,1,5.0
12,2,9.0
12,3,11.0
12,4,5.0
12,5,6.0
12,6,5.0
12,7,10.0
13,0,5.0
13,1,5.0
13,2,8.0
13,3,7.0
13,4,5.0
13,5,4.0
13,6,10.0
13,7,9.0
14,0,11.0
14,1,5.0
14,2,11.0
14,3,10.0
14,4,9.0
14,5,12.0
14,6,2.0
14,7,11.0
15,0,11.0
15,1,12.0
15,2,3.0
15,3,10.0
15,4,10.0
15,5,15.0
15,6,7.0
15,7,5.0
16,0,16.0
16,1,4.0
16,2,7.0
16,3,7.0
16,4,4.0
16,5,5.0
16,6,6.0
16,7,11.0
17,0,16.0
17,1,5.0
17,2,10.0
17,3,6.0
17,4,9.0
17,5,13.0
17,6,8.0
17,7,11.0
18,0,5.0
18,1,6.0
18,2,5.0
18,3,9.0
18,4,6.0
18,5,9.0
18,6,7.0
18,7,4.0
19,0,20.0
19,1,15.0
19,2,7.0
19,3,9.0
19,4,2.0
19,5,8.0
19,6,1.0
19,7,12.0
20,0,13.0
20,1,15.0
20,2,12.0
20,3,6.0
20,4,10.0
20,5,5.0
20,6,6.0
20,7,15.0
21,0,10.0
21,1,11.0
21,2,12.0
21,3,7.0
21,4,7.0
21,5,13.0
21,6,6.0
21,7,12.0
22,0,12.0
22,1,9.0
22,2,8.0
22,3,8.0
22,4,7.0
22,5,12.0
22,6,13.0
22,7,18.0
23,0,12.0
23,1,9.0
23,2,5.0
23,3,8.0
23,4,6.0
23,5,11.0
23,6,12.0
23,7,5.0
