hour,day,value
0,0,8.0
0,1,12.0
0,2,19.0
0,3,14.0
0,4,11.0
0,5,20.0
0,6,17.0
0,7,20.0
1,0,9.0
1,1,14.0
1,2,12.0
1,3,13.0
1,4,9.0
1,5,14.0
1,6,17.0
1,7,11.0
2,0,7.0
2,1,14.0
2,2,10.0
2,3,9.0
2,4,8.0
2,5,9.0
2,6,4.0
2,7,11.0
3,0,7.0
3,1,8.0
3,2,7.0
3,3,5.0
3,4,3.0
3,5,3.0
3,6,7.0
3,7,3.0
4,0,5.0
4,1,3.0
4,2,6.0
4,3,5.0
4,4,7.0
4,5,5.0
4,6,5.0
4,7,4.0
5,0,2.0
5,1,1.0
5,2,7.0
5,3,4.0
5,4,1.0
5,5,1.0
5,6,2.0
5,7,3.0
6,0,3.0
6,1,1.0
6,2,6.0
6,3,0.0
6,4,4.0
6,5,4.0
6,6,3.0
6,7,6.0
7,0,2.0
7,1,5.0
7,2,2.0
7,3,2.0
7,4,3.0
7,5,2.0
7,6,5.0
7,7,3.0
8,0,3.0
8,1,2.0
8,2,3.0
8,3,6.0
8,4,3.0
8,5,5.0
8,6,2.0
8,7,2.0
9,0,9.0
9,1,8.0
9,2,3.0
9,3,2.0
9,4,1.0
9,5,6.0
9,6,4.0
9,7,6.0
10,0,4.0
10,1,10.0
10,2,6.0
10,3,12.0
10,4,8.0
10,5,5.0
10,6,9.0
10,7,7.0
11,0,6.0
11,1,6.0
11,2,9.0
11,3,17.0
11,4,9.0
11,5,5.0
11,6,10.0
11,7,10.0
12,0,13.0
12,1,15.0
12,2,16.0
12,3,14.0
12,4,13.0
12,5,10.0
12,6,18.0
12,7,11.0
13,0,11.0
13,1,12.0
13,2,6.0
13,3,9.0
13,4,12.0
13,5,13.0
13,6,8.0
13,7,16.0
14,0,19.0
14,1,14.0
14,2,8.0
14,3,20.0
14,4,15.0
14,5,11.0
14,6,12.0
14,7,12.0
15,0,13.0
15,1,13.0
15,2,9.0
15,3,19.0
15,4,16.0
15,5,11.0
15,6,6.0
15,7,20.0
16,0,15.0
16,1,4.0
16,2,7.0
16,3,7.0
16,4,9.0
16,5,13.0
16,6,9.0
16,7,16.0
17,0,12.0
17,1,7.0
17,2,4.0
17,3,19.0
17,4,14.0
17,5,8.0
17,6,20.0
17,7,10.0
18,0,13.0
18,1,7.0
18,2,12.0
18,3,14.0
18,4,11.0
18,5,16.0
18,6,14.0
18,7,12.0
19,0,9.0
19,1,16.0
19,2,12.0
19,3,14.0
19,4,12.0
19,5,13.0
19,6,9.0
19,7,16.0
20,0,17.0
20,1,9.0
20,2,15.0
20,3,9.0
20,4,13.0
20,5,14.0
20,6,13.0
20,7,7.0
21,0,20.0
21,1,8.0
21,2,10.0
21,3,11.0
21,4,12.0
21,5,12.0
21,6,11.0
21,7,14.0
22,0,15.0
22,1,13.0
22,2,13.0
22,3,11.0
22,4,22.0
22,5,13.0
22,6,16.0
22,7,10.0
23,0,15.0
23,1,12.0
23,2,13.0
23,3,12.0
23,4,16.0
23,5,16.0
23,6,15.0
23,7,14.0
