hour,day,value
0,0,62.0
0,1,71.0
0,2,61.0
0,3,63.0
0,4,50.0
0,5,68.0
0,6,63.0
0,7,60.0
1,0,38.0
1,1,36.0
1,2,58.0
1,3,55.0
1,4,43.0
1,5,64.0
1,6,51.0
1,7,62.0
2,0,43.0
2,1,28.0
2,2,43.0
2,3,33.0
2,4,43.0
2,5,25.0
2,6,32.0
2,7,26.0
3,0,27.0
3,1,14.0
3,2,30.0
3,3,19.0
3,4,21.0
3,5,25.0
3,6,20.0
3,7,22.0
4,0,12.0
4,1,14.0
4,2,13.0
4,3,12.0
4,4,19.0
4,5,13.0
4,6,11.0
4,7,21.0
5,0,7.0
5,1,9.0
5,2,14.0
5,3,10.0
5,4,8.0
5,5,8.0
5,6,10.0
5,7,7.0
6,0,10.0
6,1,6.0
6,2,10.0
6,3,9.0
6,4,9.0
6,5,9.0
6,6,7.0
6,7,10.0
7,0,8.0
7,1,20.0
7,2,7.0
7,3,11.0
7,4,8.0
7,5,10.0
7,6,10.0
7,7,14.0
8,0,20.0
8,1,20.0
8,2,16.0
8,3,19.0
8,4,12.0
8,5,17.0
8,6,19.0
8,7,12.0
9,0,18.0
9,1,31.0
9,2,27.0
9,3,23.0
9,4,24.0
9,5,19.0
9,6,20.0
9,7,22.0
10,0,34.0
10,1,47.0
10,2,30.0
10,3,32.0
10,4,28.0
10,5,25.0
10,6,28.0
10,7,34.0
11,0,45.0
11,1,35.0
11,2,33.0
11,3,31.0
11,4,52.0
11,5,48.0
11,6,31.0
11,7,37.0
12,0,55.0
12,1,34.0
12,2,49.0
12,3,47.0
12,4,41.0
12,5,46.0
12,6,51.0
12,7,47.0
13,0,46.0
13,1,64.0
13,2,40.0
13,3,58.0
13,4,64.0
13,5,37.0
13,6,46.0
13,7,38.0
14,0,45.0
14,1,58.0
14,2,46.0
14,3,47.0
14,4,56.0
14,5,48.0
14,6,59.0
14,7,50.0
15,0,43.0
15,1,45.0
15,2,51.0
15,3,36.0
15,4,53.0
15,5,42.0
15,6,54.0
15,7,49.0
16,0,56.0
16,1,45.0
16,2,41.0
16,3,58.0
16,4,42.0
16,5,50.0
16,6,40.0
16,7,56.0
17,0,46.0
17,1,43.0
17,2,29.0
17,3,72.0
17,4,37.0
17,5,47.0
17,6,37.0
17,7,51.0
18,0,44.0
18,1,44.0
18,2,45.0
18,3,50.0
18,4,40.0
18,5,52.0
18,6,37.0
18,7,37.0
19,0,54.0
19,1,53.0
19,2,52.0
19,3,38.0
19,4,58.0
19,5,59.0
19,6,39.0
19,7,37.0
20,0,58.0
20,1,55.0
20,2,53.0
20,3,50.0
20,4,58.0
20,5,63.0
20,6,43.0
20,7,46.0
21,0,42.0
21,1,50.0
21,2,68.0
21,3,70.0
21,4,57.0
21,5,49.0
21,6,46.0
21,7,48.0
22,0,54.0
22,1,41.0
22,2,53.0
22,3,48.0
22,4,51.0
22,5,63.0
22,6,52.0
22,7,47.0
23,0,63.0
23,1,60.0
23,2,63.0
23,3,57.0
23,4,50.0
23,5,53.0
23,6,70.0
23,7,60.0
