hour,day,value
0,0,558.0
0,1,484.0
0,2,485.0
0,3,518.0
0,4,452.0
0,5,424.0
0,6,465.0
0,7,463.0
1,0,268.0
1,1,369.0
1,2,402.0
1,3,436.0
1,4,374.0
1,5,433.0
1,6,367.0
1,7,435.0
2,0,293.0
2,1,235.0
2,2,283.0
2,3,257.0
2,4,242.0
2,5,289.0
2,6,262.0
2,7,298.0
3,0,179.0
3,1,140.0
3,2,152.0
3,3,138.0
3,4,159.0
3,5,174.0
3,6,136.0
3,7,174.0
4,0,79.0
4,1,89.0
4,2,82.0
4,3,108.0
4,4,91.0
4,5,101.0
4,6,81.0
4,7,99.0
5,0,53.0
5,1,66.0
5,2,67.0
5,3,58.0
5,4,53.0
5,5,56.0
5,6,74.0
5,7,57.0
6,0,63.0
6,1,66.0
6,2,64.0
6,3,53.0
6,4,50.0
6,5,57.0
6,6,54.0
6,7,64.0
7,0,80.0
7,1,100.0
7,2,84.0
7,3,75.0
7,4,62.0
7,5,73.0
7,6,76.0
7,7,80.0
8,0,122.0
8,1,84.0
8,2,95.0
8,3,99.0
8,4,97.0
8,5,98.0
8,6,98.0
8,7,86.0
9,0,194.0
9,1,145.0
9,2,121.0
9,3,164.0
9,4,166.0
9,5,138.0
9,6,138.0
9,7,149.0
10,0,274.0
10,1,246.0
10,2,193.0
10,3,197.0
10,4,224.0
10,5,229.0
10,6,197.0
10,7,227.0
11,0,307.0
11,1,291.0
11,2,298.0
11,3,269.0
11,4,312.0
11,5,243.0
11,6,256.0
11,7,284.0
12,0,364.0
12,1,344.0
12,2,339.0
12,3,333.0
12,4,330.0
12,5,318.0
12,6,291.0
12,7,325.0
13,0,372.0
13,1,369.0
13,2,358.0
13,3,307.0
13,4,383.0
13,5,328.0
13,6,326.0
13,7,338.0
14,0,402.0
14,1,408.0
14,2,350.0
14,3,353.0
14,4,409.0
14,5,355.0
14,6,355.0
14,7,345.0
15,0,344.0
15,1,362.0
15,2,385.0
15,3,360.0
15,4,385.0
15,5,372.0
15,6,374.0
15,7,330.0
16,0,295.0
16,1,326.0
16,2,323.0
16,3,361.0
16,4,355.0
16,5,342.0
16,6,349.0
16,7,335.0
17,0,338.0
17,1,331.0
17,2,316.0
17,3,325.0
17,4,337.0
17,5,314.0
17,6,287.0
17,7,268.0
18,0,336.0
18,1,374.0
18,2,320.0
18,3,357.0
18,4,332.0
18,5,337.0
18,6,331.0
18,7,303.0
19,0,399.0
19,1,368.0
19,2,341.0
19,3,372.0
19,4,423.0
19,5,395.0
19,6,410.0
19,7,323.0
20,0,403.0
20,1,415.0
20,2,358.0
20,3,404.0
20,4,403.0
20,5,380.0
20,6,427.0
20,7,347.0
21,0,417.0
21,1,404.0
21,2,369.0
21,3,427.0
21,4,427.0
21,5,373.0
21,6,405.0
21,7,384.0
22,0,449.0
22,1,463.0
22,2,451.0
22,3,502.0
22,4,465.0
22,5,421.0
22,6,468.0
22,7,446.0
23,0,519.0
23,1,515.0
23,2,445.0
23,3,449.0
23,4,414.0
23,5,438.0
23,6,480.0
23,7,436.0
