hour,day,value
0,0,2308.0
0,1,2051.0
0,2,2166.0
0,3,2117.0
0,4,1988.0
0,5,1889.0
0,6,2005.0
0,7,2056.0
1,0,1067.0
1,1,1728.0
1,2,1908.0
1,3,1789.0
1,4,1933.0
1,5,2008.0
1,6,1710.0
1,7,1811.0
2,0,1415.0
2,1,1215.0
2,2,1315.0
2,3,1291.0
2,4,1354.0
2,5,1309.0
2,6,1170.0
2,7,1353.0
3,0,859.0
3,1,726.0
3,2,859.0
3,3,784.0
3,4,890.0
3,5,855.0
3,6,797.0
3,7,680.0
4,0,469.0
4,1,452.0
4,2,509.0
4,3,425.0
4,4,471.0
4,5,530.0
4,6,489.0
4,7,509.0
5,0,222.0
5,1,278.0
5,2,243.0
5,3,283.0
5,4,298.0
5,5,292.0
5,6,293.0
5,7,319.0
6,0,252.0
6,1,184.0
6,2,186.0
6,3,185.0
6,4,185.0
6,5,239.0
6,6,233.0
6,7,250.0
7,0,271.0
7,1,270.0
7,2,167.0
7,3,215.0
7,4,219.0
7,5,237.0
7,6,235.0
7,7,259.0
8,0,406.0
8,1,339.0
8,2,306.0
8,3,300.0
8,4,286.0
8,5,343.0
8,6,353.0
8,7,366.0
9,0,633.0
9,1,552.0
9,2,449.0
9,3,477.0
9,4,470.0
9,5,504.0
9,6,499.0
9,7,567.0
10,0,904.0
10,1,935.0
10,2,727.0
10,3,715.0
10,4,863.0
10,5,788.0
10,6,721.0
10,7,782.0
11,0,1159.0
11,1,1172.0
11,2,1157.0
11,3,937.0
11,4,1237.0
11,5,1077.0
11,6,1116.0
11,7,1057.0
12,0,1384.0
12,1,1389.0
12,2,1363.0
12,3,1220.0
12,4,1480.0
12,5,1342.0
12,6,1284.0
12,7,1272.0
13,0,1629.0
13,1,1609.0
13,2,1478.0
13,3,1431.0
13,4,1511.0
13,5,1365.0
13,6,1455.0
13,7,1464.0
14,0,1698.0
14,1,1711.0
14,2,1485.0
14,3,1582.0
14,4,1656.0
14,5,1428.0
14,6,1433.0
14,7,1513.0
15,0,1505.0
15,1,1591.0
15,2,1493.0
15,3,1679.0
15,4,1662.0
15,5,1542.0
15,6,1622.0
15,7,1396.0
16,0,1395.0
16,1,1399.0
16,2,1289.0
16,3,1441.0
16,4,1441.0
16,5,1547.0
16,6,1552.0
16,7,1428.0
17,0,1344.0
17,1,1334.0
17,2,1278.0
17,3,1370.0
17,4,1394.0
17,5,1352.0
17,6,1420.0
17,7,1250.0
18,0,1507.0
18,1,1450.0
18,2,1393.0
18,3,1585.0
18,4,1427.0
18,5,1422.0
18,6,1493.0
18,7,1324.0
19,0,1749.0
19,1,1636.0
19,2,1483.0
19,3,1632.0
19,4,1586.0
19,5,1541.0
19,6,1614.0
19,7,1551.0
20,0,1777.0
20,1,1716.0
20,2,1544.0
20,3,1670.0
20,4,1581.0
20,5,1574.0
20,6,1746.0
20,7,1594.0
21,0,1891.0
21,1,1712.0
21,2,1686.0
21,3,1680.0
21,4,1654.0
21,5,1697.0
21,6,1851.0
21,7,1730.0
22,0,1982.0
22,1,1973.0
22,2,1758.0
22,3,1920.0
22,4,2027.0
22,5,1906.0
22,6,1916.0
22,7,1939.0
23,0,2036.0
23,1,2102.0
23,2,1967.0
23,3,1893.0
23,4,1761.0
23,5,2000.0
23,6,2093.0
23,7,1812.0
