hour,day,value
0,0,45.0
0,1,40.0
0,2,47.0
0,3,43.0
0,4,46.0
0,5,32.0
0,6,44.0
0,7,39.0
1,0,20.0
1,1,23.0
1,2,30.0
1,3,40.0
1,4,34.0
1,5,26.0
1,6,39.0
1,7,31.0
2,0,32.0
2,1,21.0
2,2,32.0
2,3,14.0
2,4,27.0
2,5,21.0
2,6,21.0
2,7,24.0
3,0,19.0
3,1,13.0
3,2,12.0
3,3,17.0
3,4,12.0
3,5,9.0
3,6,6.0
3,7,11.0
4,0,12.0
4,1,12.0
4,2,5.0
4,3,10.0
4,4,11.0
4,5,13.0
4,6,3.0
4,7,11.0
5,0,5.0
5,1,5.0
5,2,6.0
5,3,5.0
5,4,8.0
5,5,8.0
5,6,3.0
5,7,3.0
6,0,15.0
6,1,5.0
6,2,2.0
6,3,7.0
6,4,2.0
6,5,11.0
6,6,6.0
6,7,10.0
7,0,8.0
7,1,8.0
7,2,3.0
7,3,8.0
7,4,1.0
7,5,8.0
7,6,4.0
7,7,10.0
8,0,8.0
8,1,11.0
8,2,16.0
8,3,15.0
8,4,11.0
8,5,10.0
8,6,10.0
8,7,6.0
9,0,22.0
9,1,17.0
9,2,13.0
9,3,17.0
9,4,14.0
9,5,14.0
9,6,13.0
9,7,19.0
10,0,27.0
10,1,22.0
10,2,24.0
10,3,13.0
10,4,28.0
10,5,25.0
10,6,28.0
10,7,12.0
11,0,11.0
11,1,26.0
11,2,31.0
11,3,20.0
11,4,34.0
11,5,25.0
11,6,25.0
11,7,23.0
12,0,39.0
12,1,29.0
12,2,36.0
12,3,21.0
12,4,25.0
12,5,31.0
12,6,21.0
12,7,33.0
13,0,28.0
13,1,42.0
13,2,31.0
13,3,22.0
13,4,26.0
13,5,27.0
13,6,25.0
13,7,27.0
14,0,35.0
14,1,37.0
14,2,25.0
14,3,21.0
14,4,32.0
14,5,21.0
14,6,36.0
14,7,27.0
15,0,39.0
15,1,31.0
15,2,23.0
15,3,42.0
15,4,30.0
15,5,39.0
15,6,22.0
15,7,33.0
16,0,29.0
16,1,36.0
16,2,27.0
16,3,31.0
16,4,27.0
16,5,24.0
16,6,41.0
16,7,23.0
17,0,24.0
17,1,36.0
17,2,32.0
17,3,56.0
17,4,36.0
17,5,27.0
17,6,21.0
17,7,15.0
18,0,29.0
18,1,29.0
18,2,25.0
18,3,42.0
18,4,22.0
18,5,11.0
18,6,27.0
18,7,23.0
19,0,47.0
19,1,44.0
19,2,35.0
19,3,29.0
19,4,34.0
19,5,43.0
19,6,38.0
19,7,38.0
20,0,32.0
20,1,33.0
20,2,25.0
20,3,36.0
20,4,29.0
20,5,19.0
20,6,40.0
20,7,24.0
21,0,36.0
21,1,37.0
21,2,41.0
21,3,41.0
21,4,39.0
21,5,33.0
21,6,46.0
21,7,37.0
22,0,34.0
22,1,30.0
22,2,45.0
22,3,43.0
22,4,47.0
22,5,30.0
22,6,27.0
22,7,37.0
23,0,43.0
23,1,46.0
23,2,42.0
23,3,40.0
23,4,31.0
23,5,48.0
23,6,34.0
23,7,38.0
