hour,day,value
0,0,118.0
0,1,111.0
0,2,146.0
0,3,125.0
0,4,118.0
0,5,120.0
0,6,100.0
0,7,118.0
1,0,66.0
1,1,93.0
1,2,117.0
1,3,121.0
1,4,92.0
1,5,121.0
1,6,80.0
1,7,106.0
2,0,60.0
2,1,65.0
2,2,69.0
2,3,62.0
2,4,67.0
2,5,83.0
2,6,66.0
2,7,66.0
3,0,36.0
3,1,39.0
3,2,36.0
3,3,27.0
3,4,40.0
3,5,44.0
3,6,25.0
3,7,43.0
4,0,28.0
4,1,20.0
4,2,21.0
4,3,32.0
4,4,33.0
4,5,23.0
4,6,19.0
4,7,22.0
5,0,20.0
5,1,17.0
5,2,15.0
5,3,18.0
5,4,15.0
5,5,14.0
5,6,12.0
5,7,22.0
6,0,13.0
6,1,15.0
6,2,15.0
6,3,15.0
6,4,19.0
6,5,24.0
6,6,11.0
6,7,28.0
7,0,21.0
7,1,26.0
7,2,11.0
7,3,18.0
7,4,31.0
7,5,19.0
7,6,18.0
7,7,24.0
8,0,31.0
8,1,34.0
8,2,22.0
8,3,27.0
8,4,34.0
8,5,26.0
8,6,30.0
8,7,29.0
9,0,40.0
9,1,42.0
9,2,47.0
9,3,41.0
9,4,39.0
9,5,43.0
9,6,32.0
9,7,47.0
10,0,86.0
10,1,67.0
10,2,52.0
10,3,44.0
10,4,43.0
10,5,48.0
10,6,50.0
10,7,56.0
11,0,81.0
11,1,75.0
11,2,72.0
11,3,58.0
11,4,76.0
11,5,63.0
11,6,64.0
11,7,65.0
12,0,91.0
12,1,67.0
12,2,69.0
12,3,73.0
12,4,81.0
12,5,70.0
12,6,59.0
12,7,74.0
13,0,94.0
13,1,109.0
13,2,86.0
13,3,75.0
13,4,95.0
13,5,78.0
13,6,95.0
13,7,66.0
14,0,95.0
14,1,94.0
14,2,93.0
14,3,88.0
14,4,72.0
14,5,86.0
14,6,93.0
14,7,85.0
15,0,91.0
15,1,75.0
15,2,80.0
15,3,83.0
15,4,114.0
15,5,77.0
15,6,102.0
15,7,80.0
16,0,71.0
16,1,65.0
16,2,79.0
16,3,101.0
16,4,78.0
16,5,94.0
16,6,91.0
16,7,75.0
17,0,96.0
17,1,67.0
17,2,89.0
17,3,78.0
17,4,84.0
17,5,84.0
17,6,72.0
17,7,60.0
18,0,87.0
18,1,71.0
18,2,78.0
18,3,75.0
18,4,90.0
18,5,86.0
18,6,77.0
18,7,65.0
19,0,89.0
19,1,93.0
19,2,86.0
19,3,93.0
19,4,83.0
19,5,102.0
19,6,79.0
19,7,76.0
20,0,128.0
20,1,89.0
20,2,80.0
20,3,98.0
20,4,85.0
20,5,94.0
20,6,88.0
20,7,91.0
21,0,93.0
21,1,107.0
21,2,85.0
21,3,104.0
21,4,80.0
21,5,102.0
21,6,89.0
21,7,107.0
22,0,91.0
22,1,101.0
22,2,113.0
22,3,100.0
22,4,118.0
22,5,80.0
22,6,112.0
22,7,126.0
23,0,132.0
23,1,105.0
23,2,112.0
23,3,139.0
23,4,104.0
23,5,101.0
23,6,124.0
23,7,118.0
