hour,day,value
0,0,353.0
0,1,331.0
0,2,336.0
0,3,306.0
0,4,276.0
0,5,311.0
0,6,288.0
0,7,329.0
1,0,181.0
1,1,257.0
1,2,266.0
1,3,289.0
1,4,249.0
1,5,286.0
1,6,248.0
1,7,283.0
2,0,207.0
2,1,181.0
2,2,198.0
2,3,170.0
2,4,195.0
2,5,174.0
2,6,181.0
2,7,191.0
3,0,111.0
3,1,121.0
3,2,116.0
3,3,85.0
3,4,114.0
3,5,109.0
3,6,94.0
3,7,87.0
4,0,63.0
4,1,65.0
4,2,54.0
4,3,50.0
4,4,47.0
4,5,46.0
4,6,45.0
4,7,66.0
5,0,29.0
5,1,42.0
5,2,46.0
5,3,37.0
5,4,43.0
5,5,45.0
5,6,40.0
5,7,47.0
6,0,33.0
6,1,36.0
6,2,42.0
6,3,31.0
6,4,24.0
6,5,40.0
6,6,30.0
6,7,35.0
7,0,50.0
7,1,45.0
7,2,45.0
7,3,42.0
7,4,31.0
7,5,53.0
7,6,40.0
7,7,55.0
8,0,68.0
8,1,74.0
8,2,59.0
8,3,55.0
8,4,49.0
8,5,64.0
8,6,60.0
8,7,83.0
9,0,100.0
9,1,102.0
9,2,76.0
9,3,86.0
9,4,93.0
9,5,81.0
9,6,85.0
9,7,101.0
10,0,156.0
10,1,146.0
10,2,131.0
10,3,124.0
10,4,144.0
10,5,117.0
10,6,140.0
10,7,143.0
11,0,162.0
11,1,188.0
11,2,168.0
11,3,155.0
11,4,187.0
11,5,149.0
11,6,175.0
11,7,186.0
12,0,203.0
12,1,220.0
12,2,186.0
12,3,224.0
12,4,225.0
12,5,187.0
12,6,204.0
12,7,182.0
13,0,217.0
13,1,263.0
13,2,202.0
13,3,228.0
13,4,243.0
13,5,211.0
13,6,219.0
13,7,200.0
14,0,257.0
14,1,235.0
14,2,189.0
14,3,245.0
14,4,234.0
14,5,233.0
14,6,211.0
14,7,210.0
15,0,279.0
15,1,195.0
15,2,242.0
15,3,230.0
15,4,250.0
15,5,243.0
15,6,260.0
15,7,243.0
16,0,210.0
16,1,188.0
16,2,202.0
16,3,188.0
16,4,229.0
16,5,233.0
16,6,216.0
16,7,250.0
17,0,194.0
17,1,204.0
17,2,213.0
17,3,172.0
17,4,255.0
17,5,209.0
17,6,223.0
17,7,181.0
18,0,241.0
18,1,222.0
18,2,212.0
18,3,213.0
18,4,230.0
18,5,211.0
18,6,209.0
18,7,182.0
19,0,238.0
19,1,258.0
19,2,210.0
19,3,239.0
19,4,243.0
19,5,220.0
19,6,230.0
19,7,252.0
20,0,257.0
20,1,236.0
20,2,210.0
20,3,246.0
20,4,244.0
20,5,239.0
20,6,270.0
20,7,259.0
21,0,262.0
21,1,268.0
21,2,251.0
21,3,248.0
21,4,283.0
21,5,257.0
21,6,246.0
21,7,245.0
22,0,292.0
22,1,280.0
22,2,275.0
22,3,261.0
22,4,258.0
22,5,270.0
22,6,291.0
22,7,292.0
23,0,319.0
23,1,319.0
23,2,298.0
23,3,248.0
23,4,294.0
23,5,272.0
23,6,330.0
23,7,303.0
