hour,day,value
0,0,57.0
0,1,52.0
0,2,65.0
0,3,57.0
0,4,41.0
0,5,58.0
0,6,51.0
0,7,40.0
1,0,30.0
1,1,54.0
1,2,36.0
1,3,38.0
1,4,44.0
1,5,44.0
1,6,43.0
1,7,46.0
2,0,35.0
2,1,36.0
2,2,34.0
2,3,23.0
2,4,37.0
2,5,27.0
2,6,30.0
2,7,24.0
3,0,17.0
3,1,28.0
3,2,21.0
3,3,20.0
3,4,23.0
3,5,16.0
3,6,14.0
3,7,20.0
4,0,13.0
4,1,11.0
4,2,5.0
4,3,15.0
4,4,10.0
4,5,10.0
4,6,8.0
4,7,14.0
5,0,9.0
5,1,5.0
5,2,13.0
5,3,6.0
5,4,8.0
5,5,3.0
5,6,7.0
5,7,9.0
6,0,15.0
6,1,5.0
6,2,5.0
6,3,9.0
6,4,7.0
6,5,3.0
6,6,11.0
6,7,10.0
7,0,11.0
7,1,9.0
7,2,15.0
7,3,7.0
7,4,10.0
7,5,13.0
7,6,13.0
7,7,10.0
8,0,15.0
8,1,13.0
8,2,19.0
8,3,10.0
8,4,15.0
8,5,15.0
8,6,12.0
8,7,21.0
9,0,20.0
9,1,25.0
9,2,22.0
9,3,19.0
9,4,18.0
9,5,17.0
9,6,24.0
9,7,21.0
10,0,23.0
10,1,30.0
10,2,19.0
10,3,27.0
10,4,25.0
10,5,32.0
10,6,21.0
10,7,21.0
11,0,36.0
11,1,33.0
11,2,30.0
11,3,27.0
11,4,24.0
11,5,43.0
11,6,33.0
11,7,21.0
12,0,53.0
12,1,52.0
12,2,35.0
12,3,45.0
12,4,37.0
12,5,31.0
12,6,46.0
12,7,34.0
13,0,43.0
13,1,53.0
13,2,45.0
13,3,33.0
13,4,48.0
13,5,31.0
13,6,38.0
13,7,35.0
14,0,51.0
14,1,54.0
14,2,40.0
14,3,39.0
14,4,59.0
14,5,34.0
14,6,53.0
14,7,44.0
15,0,40.0
15,1,49.0
15,2,36.0
15,3,54.0
15,4,34.0
15,5,38.0
15,6,47.0
15,7,51.0
16,0,42.0
16,1,43.0
16,2,41.0
16,3,32.0
16,4,47.0
16,5,41.0
16,6,54.0
16,7,43.0
17,0,26.0
17,1,45.0
17,2,31.0
17,3,53.0
17,4,29.0
17,5,37.0
17,6,39.0
17,7,36.0
18,0,39.0
18,1,49.0
18,2,33.0
18,3,34.0
18,4,39.0
18,5,37.0
18,6,32.0
18,7,35.0
19,0,59.0
19,1,38.0
19,2,40.0
19,3,47.0
19,4,44.0
19,5,41.0
19,6,37.0
19,7,48.0
20,0,37.0
20,1,49.0
20,2,38.0
20,3,52.0
20,4,42.0
20,5,43.0
20,6,46.0
20,7,31.0
21,0,47.0
21,1,39.0
21,2,44.0
21,3,62.0
21,4,37.0
21,5,37.0
21,6,33.0
21,7,43.0
22,0,48.0
22,1,40.0
22,2,38.0
22,3,60.0
22,4,46.0
22,5,41.0
22,6,46.0
22,7,57.0
23,0,57.0
23,1,41.0
23,2,53.0
23,3,49.0
23,4,54.0
23,5,53.0
23,6,67.0
23,7,55.0
