hour,day,value
0,0,390.0
0,1,344.0
0,2,315.0
0,3,384.0
0,4,294.0
0,5,323.0
0,6,325.0
0,7,278.0
1,0,170.0
1,1,275.0
1,2,272.0
1,3,326.0
1,4,266.0
1,5,287.0
1,6,215.0
1,7,262.0
2,0,241.0
2,1,169.0
2,2,200.0
2,3,196.0
2,4,173.0
2,5,194.0
2,6,142.0
2,7,177.0
3,0,115.0
3,1,118.0
3,2,96.0
3,3,93.0
3,4,109.0
3,5,112.0
3,6,97.0
3,7,99.0
4,0,57.0
4,1,56.0
4,2,47.0
4,3,56.0
4,4,65.0
4,5,61.0
4,6,43.0
4,7,67.0
5,0,43.0
5,1,34.0
5,2,35.0
5,3,41.0
5,4,44.0
5,5,34.0
5,6,32.0
5,7,45.0
6,0,29.0
6,1,22.0
6,2,34.0
6,3,36.0
6,4,19.0
6,5,39.0
6,6,42.0
6,7,40.0
7,0,48.0
7,1,40.0
7,2,31.0
7,3,40.0
7,4,31.0
7,5,38.0
7,6,30.0
7,7,40.0
8,0,76.0
8,1,54.0
8,2,37.0
8,3,59.0
8,4,45.0
8,5,69.0
8,6,62.0
8,7,37.0
9,0,97.0
9,1,86.0
9,2,71.0
9,3,98.0
9,4,90.0
9,5,91.0
9,6,101.0
9,7,102.0
10,0,150.0
10,1,144.0
10,2,124.0
10,3,118.0
10,4,153.0
10,5,149.0
10,6,133.0
10,7,122.0
11,0,188.0
11,1,203.0
11,2,169.0
11,3,172.0
11,4,176.0
11,5,151.0
11,6,170.0
11,7,175.0
12,0,215.0
12,1,241.0
12,2,199.0
12,3,200.0
12,4,234.0
12,5,209.0
12,6,185.0
12,7,195.0
13,0,247.0
13,1,223.0
13,2,226.0
13,3,210.0
13,4,241.0
13,5,201.0
13,6,205.0
13,7,192.0
14,0,239.0
14,1,254.0
14,2,219.0
14,3,243.0
14,4,259.0
14,5,230.0
14,6,206.0
14,7,218.0
15,0,228.0
15,1,225.0
15,2,246.0
15,3,256.0
15,4,262.0
15,5,217.0
15,6,216.0
15,7,198.0
16,0,186.0
16,1,198.0
16,2,224.0
16,3,219.0
16,4,205.0
16,5,217.0
16,6,213.0
16,7,228.0
17,0,234.0
17,1,176.0
17,2,184.0
17,3,225.0
17,4,216.0
17,5,182.0
17,6,179.0
17,7,186.0
18,0,246.0
18,1,228.0
18,2,220.0
18,3,230.0
18,4,263.0
18,5,198.0
18,6,187.0
18,7,205.0
19,0,286.0
19,1,226.0
19,2,208.0
19,3,279.0
19,4,256.0
19,5,232.0
19,6,215.0
19,7,258.0
20,0,253.0
20,1,234.0
20,2,209.0
20,3,294.0
20,4,260.0
20,5,230.0
20,6,278.0
20,7,238.0
21,0,300.0
21,1,274.0
21,2,246.0
21,3,322.0
21,4,297.0
21,5,249.0
21,6,257.0
21,7,287.0
22,0,319.0
22,1,268.0
22,2,293.0
22,3,338.0
22,4,320.0
22,5,261.0
22,6,245.0
22,7,293.0
23,0,335.0
23,1,310.0
23,2,301.0
23,3,271.0
23,4,303.0
23,5,233.0
23,6,316.0
23,7,241.0
