hour,day,value
0,0,36.0
0,1,15.0
0,2,24.0
0,3,31.0
0,4,24.0
0,5,35.0
0,6,35.0
0,7,45.0
1,0,9.0
1,1,18.0
1,2,23.0
1,3,35.0
1,4,26.0
1,5,18.0
1,6,31.0
1,7,30.0
2,0,13.0
2,1,9.0
2,2,32.0
2,3,21.0
2,4,22.0
2,5,14.0
2,6,18.0
2,7,22.0
3,0,8.0
3,1,13.0
3,2,13.0
3,3,17.0
3,4,14.0
3,5,14.0
3,6,13.0
3,7,20.0
4,0,7.0
4,1,6.0
4,2,7.0
4,3,7.0
4,4,9.0
4,5,8.0
4,6,8.0
4,7,16.0
5,0,3.0
5,1,4.0
5,2,6.0
5,3,9.0
5,4,4.0
5,5,7.0
5,6,3.0
5,7,8.0
6,0,3.0
6,1,5.0
6,2,8.0
6,3,6.0
6,4,12.0
6,5,6.0
6,6,10.0
6,7,3.0
7,0,7.0
7,1,9.0
7,2,3.0
7,3,11.0
7,4,5.0
7,5,9.0
7,6,4.0
7,7,5.0
8,0,8.0
8,1,5.0
8,2,7.0
8,3,16.0
8,4,7.0
8,5,17.0
8,6,10.0
8,7,14.0
9,0,10.0
9,1,11.0
9,2,14.0
9,3,20.0
9,4,13.0
9,5,9.0
9,6,9.0
9,7,14.0
10,0,17.0
10,1,6.0
10,2,14.0
10,3,24.0
10,4,15.0
10,5,21.0
10,6,14.0
10,7,21.0
11,0,14.0
11,1,25.0
11,2,24.0
11,3,20.0
11,4,24.0
11,5,22.0
11,6,18.0
11,7,30.0
12,0,20.0
12,1,22.0
12,2,27.0
12,3,38.0
12,4,33.0
12,5,24.0
12,6,33.0
12,7,41.0
13,0,21.0
13,1,36.0
13,2,39.0
13,3,29.0
13,4,31.0
13,5,26.0
13,6,20.0
13,7,40.0
14,0,18.0
14,1,28.0
14,2,42.0
14,3,25.0
14,4,27.0
14,5,28.0
14,6,30.0
14,7,28.0
15,0,18.0
15,1,17.0
15,2,28.0
15,3,29.0
15,4,23.0
15,5,17.0
15,6,28.0
15,7,40.0
16,0,20.0
16,1,27.0
16,2,15.0
16,3,26.0
16,4,23.0
16,5,28.0
16,6,25.0
16,7,37.0
17,0,17.0
17,1,26.0
17,2,34.0
17,3,29.0
17,4,28.0
17,5,18.0
17,6,31.0
17,7,31.0
18,0,19.0
18,1,18.0
18,2,38.0
18,3,24.0
18,4,33.0
18,5,25.0
18,6,22.0
18,7,35.0
19,0,23.0
19,1,31.0
19,2,39.0
19,3,42.0
19,4,29.0
19,5,28.0
19,6,35.0
19,7,44.0
20,0,36.0
20,1,28.0
20,2,29.0
20,3,26.0
20,4,27.0
20,5,27.0
20,6,19.0
20,7,39.0
21,0,21.0
21,1,21.0
21,2,34.0
21,3,29.0
21,4,31.0
21,5,32.0
21,6,28.0
21,7,45.0
22,0,21.0
22,1,23.0
22,2,35.0
22,3,33.0
22,4,28.0
22,5,31.0
22,6,24.0
22,7,31.0
23,0,26.0
23,1,24.0
23,2,46.0
23,3,38.0
23,4,20.0
23,5,37.0
23,6,41.0
23,7,46.0
