hour,day,value
0,0,170.0
0,1,166.0
0,2,223.0
0,3,220.0
0,4,160.0
0,5,172.0
0,6,196.0
0,7,190.0
1,0,94.0
1,1,162.0
1,2,233.0
1,3,210.0
1,4,165.0
1,5,179.0
1,6,147.0
1,7,152.0
2,0,112.0
2,1,119.0
2,2,155.0
2,3,126.0
2,4,109.0
2,5,104.0
2,6,101.0
2,7,97.0
3,0,66.0
3,1,54.0
3,2,72.0
3,3,64.0
3,4,75.0
3,5,77.0
3,6,77.0
3,7,70.0
4,0,41.0
4,1,33.0
4,2,59.0
4,3,26.0
4,4,41.0
4,5,37.0
4,6,49.0
4,7,31.0
5,0,25.0
5,1,27.0
5,2,48.0
5,3,23.0
5,4,15.0
5,5,28.0
5,6,37.0
5,7,29.0
6,0,14.0
6,1,22.0
6,2,32.0
6,3,28.0
6,4,18.0
6,5,23.0
6,6,28.0
6,7,23.0
7,0,26.0
7,1,26.0
7,2,30.0
7,3,20.0
7,4,18.0
7,5,20.0
7,6,23.0
7,7,26.0
8,0,24.0
8,1,20.0
8,2,31.0
8,3,40.0
8,4,33.0
8,5,30.0
8,6,32.0
8,7,42.0
9,0,53.0
9,1,27.0
9,2,48.0
9,3,65.0
9,4,39.0
9,5,37.0
9,6,69.0
9,7,52.0
10,0,70.0
10,1,73.0
10,2,104.0
10,3,63.0
10,4,81.0
10,5,83.0
10,6,80.0
10,7,84.0
11,0,69.0
11,1,104.0
11,2,134.0
11,3,93.0
11,4,90.0
11,5,96.0
11,6,89.0
11,7,116.0
12,0,119.0
12,1,123.0
12,2,130.0
12,3,128.0
12,4,102.0
12,5,113.0
12,6,112.0
12,7,145.0
13,0,120.0
13,1,115.0
13,2,155.0
13,3,135.0
13,4,116.0
13,5,120.0
13,6,160.0
13,7,130.0
14,0,109.0
14,1,185.0
14,2,137.0
14,3,133.0
14,4,129.0
14,5,143.0
14,6,140.0
14,7,119.0
15,0,112.0
15,1,183.0
15,2,121.0
15,3,152.0
15,4,146.0
15,5,142.0
15,6,138.0
15,7,136.0
16,0,117.0
16,1,128.0
16,2,113.0
16,3,134.0
16,4,110.0
16,5,118.0
16,6,139.0
16,7,148.0
17,0,137.0
17,1,130.0
17,2,121.0
17,3,134.0
17,4,113.0
17,5,111.0
17,6,115.0
17,7,107.0
18,0,169.0
18,1,165.0
18,2,126.0
18,3,122.0
18,4,106.0
18,5,124.0
18,6,134.0
18,7,109.0
19,0,170.0
19,1,183.0
19,2,153.0
19,3,164.0
19,4,141.0
19,5,146.0
19,6,144.0
19,7,134.0
20,0,136.0
20,1,158.0
20,2,144.0
20,3,144.0
20,4,162.0
20,5,137.0
20,6,145.0
20,7,163.0
21,0,171.0
21,1,167.0
21,2,140.0
21,3,208.0
21,4,167.0
21,5,240.0
21,6,170.0
21,7,168.0
22,0,160.0
22,1,202.0
22,2,270.0
22,3,188.0
22,4,174.0
22,5,218.0
22,6,192.0
22,7,180.0
23,0,171.0
23,1,241.0
23,2,289.0
23,3,181.0
23,4,148.0
23,5,167.0
23,6,170.0
23,7,187.0
