hour,day,value
0,0,21.0
0,1,21.0
0,2,15.0
0,3,15.0
0,4,15.0
0,5,13.0
0,6,10.0
0,7,14.0
1,0,9.0
1,1,9.0
1,2,16.0
1,3,17.0
1,4,19.0
1,5,15.0
1,6,6.0
1,7,8.0
2,0,10.0
2,1,11.0
2,2,4.0
2,3,10.0
2,4,9.0
2,5,11.0
2,6,9.0
2,7,10.0
3,0,8.0
3,1,10.0
3,2,7.0
3,3,7.0
3,4,3.0
3,5,10.0
3,6,5.0
3,7,6.0
4,0,5.0
4,1,4.0
4,2,3.0
4,3,5.0
4,4,5.0
4,5,3.0
4,6,1.0
4,7,7.0
5,0,2.0
5,1,1.0
5,2,5.0
5,3,5.0
5,4,2.0
5,5,3.0
5,6,4.0
5,7,2.0
6,0,3.0
6,1,3.0
6,2,4.0
6,3,4.0
6,4,4.0
6,5,3.0
6,6,1.0
6,7,2.0
7,0,3.0
7,1,3.0
7,2,4.0
7,3,3.0
7,4,1.0
7,5,4.0
7,6,1.0
7,7,3.0
8,0,1.0
8,1,5.0
8,2,3.0
8,3,3.0
8,4,4.0
8,5,6.0
8,6,4.0
8,7,3.0
9,0,10.0
9,1,5.0
9,2,5.0
9,3,2.0
9,4,6.0
9,5,4.0
9,6,6.0
9,7,7.0
10,0,3.0
10,1,22.0
10,2,8.0
10,3,13.0
10,4,8.0
10,5,5.0
10,6,9.0
10,7,12.0
11,0,11.0
11,1,19.0
11,2,12.0
11,3,5.0
11,4,12.0
11,5,13.0
11,6,9.0
11,7,13.0
12,0,9.0
12,1,13.0
12,2,13.0
12,3,10.0
12,4,15.0
12,5,15.0
12,6,12.0
12,7,12.0
13,0,15.0
13,1,13.0
13,2,18.0
13,3,14.0
13,4,11.0
13,5,14.0
13,6,9.0
13,7,9.0
14,0,12.0
14,1,19.0
14,2,7.0
14,3,21.0
14,4,12.0
14,5,7.0
14,6,11.0
14,7,17.0
15,0,6.0
15,1,12.0
15,2,9.0
15,3,13.0
15,4,19.0
15,5,16.0
15,6,16.0
15,7,8.0
16,0,13.0
16,1,8.0
16,2,8.0
16,3,14.0
16,4,15.0
16,5,9.0
16,6,11.0
16,7,7.0
17,0,9.0
17,1,15.0
17,2,18.0
17,3,13.0
17,4,8.0
17,5,11.0
17,6,12.0
17,7,16.0
18,0,22.0
18,1,11.0
18,2,16.0
18,3,18.0
18,4,10.0
18,5,16.0
18,6,15.0
18,7,6.0
19,0,28.0
19,1,21.0
19,2,8.0
19,3,11.0
19,4,14.0
19,5,12.0
19,6,9.0
19,7,12.0
20,0,21.0
20,1,11.0
20,2,10.0
20,3,10.0
20,4,13.0
20,5,15.0
20,6,17.0
20,7,12.0
21,0,21.0
21,1,22.0
21,2,17.0
21,3,12.0
21,4,11.0
21,5,10.0
21,6,13.0
21,7,20.0
22,0,13.0
22,1,14.0
22,2,17.0
22,3,20.0
22,4,12.0
22,5,18.0
22,6,15.0
22,7,18.0
23,0,8.0
23,1,20.0
23,2,24.0
23,3,17.0
23,4,8.0
23,5,14.0
23,6,29.0
23,7,29.0
