hour,day,value
0,0,8.0
0,1,14.0
0,2,21.0
0,3,7.0
0,4,10.0
0,5,12.0
0,6,10.0
0,7,10.0
1,0,2.0
1,1,12.0
1,2,8.0
1,3,7.0
1,4,15.0
1,5,8.0
1,6,6.0
1,7,6.0
2,0,9.0
2,1,10.0
2,2,6.0
2,3,8.0
2,4,7.0
2,5,4.0
2,6,3.0
2,7,7.0
3,0,6.0
3,1,4.0
3,2,9.0
3,3,2.0
3,4,5.0
3,5,1.0
3,6,2.0
3,7,2.0
4,0,2.0
4,1,3.0
4,2,3.0
4,3,3.0
4,4,0.0
4,5,1.0
4,6,4.0
4,7,2.0
5,0,2.0
5,1,5.0
5,2,3.0
5,3,2.0
5,4,3.0
5,5,3.0
5,6,2.0
5,7,2.0
6,0,4.0
6,1,2.0
6,2,2.0
6,3,5.0
6,4,1.0
6,5,4.0
6,6,5.0
6,7,1.0
7,0,4.0
7,1,5.0
7,2,4.0
7,3,4.0
7,4,1.0
7,5,2.0
7,6,2.0
7,7,3.0
8,0,2.0
8,1,3.0
8,2,3.0
8,3,4.0
8,4,2.0
8,5,6.0
8,6,3.0
8,7,3.0
9,0,6.0
9,1,3.0
9,2,3.0
9,3,1.0
9,4,2.0
9,5,4.0
9,6,3.0
9,7,3.0
10,0,6.0
10,1,8.0
10,2,6.0
10,3,4.0
10,4,3.0
10,5,6.0
10,6,8.0
10,7,4.0
11,0,10.0
11,1,5.0
11,2,5.0
11,3,10.0
11,4,5.0
11,5,7.0
11,6,7.0
11,7,5.0
12,0,7.0
12,1,9.0
12,2,6.0
12,3,12.0
12,4,6.0
12,5,6.0
12,6,10.0
12,7,11.0
13,0,6.0
13,1,3.0
13,2,8.0
13,3,14.0
13,4,8.0
13,5,12.0
13,6,9.0
13,7,4.0
14,0,17.0
14,1,9.0
14,2,6.0
14,3,10.0
14,4,4.0
14,5,4.0
14,6,8.0
14,7,6.0
15,0,7.0
15,1,9.0
15,2,3.0
15,3,4.0
15,4,11.0
15,5,6.0
15,6,8.0
15,7,10.0
16,0,12.0
16,1,8.0
16,2,12.0
16,3,11.0
16,4,13.0
16,5,16.0
16,6,12.0
16,7,2.0
17,0,6.0
17,1,11.0
17,2,10.0
17,3,9.0
17,4,4.0
17,5,5.0
17,6,7.0
17,7,10.0
18,0,8.0
18,1,14.0
18,2,13.0
18,3,7.0
18,4,6.0
18,5,6.0
18,6,5.0
18,7,10.0
19,0,7.0
19,1,11.0
19,2,9.0
19,3,11.0
19,4,2.0
19,5,9.0
19,6,8.0
19,7,14.0
20,0,14.0
20,1,17.0
20,2,6.0
20,3,0.0
20,4,6.0
20,5,5.0
20,6,7.0
20,7,13.0
21,0,11.0
21,1,14.0
21,2,9.0
21,3,15.0
21,4,9.0
21,5,5.0
21,6,8.0
21,7,15.0
22,0,10.0
22,1,14.0
22,2,10.0
22,3,14.0
22,4,15.0
22,5,14.0
22,6,16.0
22,7,11.0
23,0,16.0
23,1,19.0
23,2,11.0
23,3,16.0
23,4,13.0
23,5,7.0
23,6,16.0
23,7,22.0
