hour,day,value
0,0,208.0
0,1,180.0
0,2,203.0
0,3,186.0
0,4,162.0
0,5,206.0
0,6,189.0
0,7,222.0
1,0,105.0
1,1,158.0
1,2,150.0
1,3,184.0
1,4,152.0
1,5,169.0
1,6,158.0
1,7,183.0
2,0,111.0
2,1,112.0
2,2,140.0
2,3,138.0
2,4,135.0
2,5,125.0
2,6,112.0
2,7,138.0
3,0,59.0
3,1,69.0
3,2,104.0
3,3,68.0
3,4,80.0
3,5,84.0
3,6,53.0
3,7,81.0
4,0,46.0
4,1,31.0
4,2,58.0
4,3,33.0
4,4,49.0
4,5,52.0
4,6,47.0
4,7,53.0
5,0,21.0
5,1,21.0
5,2,32.0
5,3,27.0
5,4,27.0
5,5,20.0
5,6,31.0
5,7,25.0
6,0,37.0
6,1,22.0
6,2,24.0
6,3,34.0
6,4,19.0
6,5,20.0
6,6,31.0
6,7,29.0
7,0,47.0
7,1,45.0
7,2,29.0
7,3,27.0
7,4,33.0
7,5,39.0
7,6,36.0
7,7,37.0
8,0,50.0
8,1,44.0
8,2,35.0
8,3,35.0
8,4,29.0
8,5,42.0
8,6,53.0
8,7,44.0
9,0,70.0
9,1,58.0
9,2,64.0
9,3,61.0
9,4,51.0
9,5,53.0
9,6,52.0
9,7,57.0
10,0,96.0
10,1,85.0
10,2,79.0
10,3,94.0
10,4,82.0
10,5,65.0
10,6,82.0
10,7,74.0
11,0,123.0
11,1,112.0
11,2,151.0
11,3,105.0
11,4,116.0
11,5,103.0
11,6,125.0
11,7,116.0
12,0,129.0
12,1,140.0
12,2,144.0
12,3,135.0
12,4,165.0
12,5,125.0
12,6,138.0
12,7,113.0
13,0,139.0
13,1,147.0
13,2,134.0
13,3,140.0
13,4,173.0
13,5,150.0
13,6,151.0
13,7,128.0
14,0,149.0
14,1,160.0
14,2,160.0
14,3,157.0
14,4,160.0
14,5,159.0
14,6,159.0
14,7,155.0
15,0,145.0
15,1,124.0
15,2,173.0
15,3,174.0
15,4,161.0
15,5,147.0
15,6,168.0
15,7,146.0
16,0,140.0
16,1,140.0
16,2,151.0
16,3,130.0
16,4,138.0
16,5,160.0
16,6,163.0
16,7,129.0
17,0,126.0
17,1,135.0
17,2,154.0
17,3,127.0
17,4,133.0
17,5,117.0
17,6,139.0
17,7,147.0
18,0,124.0
18,1,141.0
18,2,153.0
18,3,137.0
18,4,154.0
18,5,138.0
18,6,123.0
18,7,146.0
19,0,143.0
19,1,165.0
19,2,150.0
19,3,156.0
19,4,133.0
19,5,159.0
19,6,143.0
19,7,165.0
20,0,156.0
20,1,171.0
20,2,172.0
20,3,161.0
20,4,153.0
20,5,177.0
20,6,139.0
20,7,155.0
21,0,167.0
21,1,162.0
21,2,137.0
21,3,143.0
21,4,143.0
21,5,181.0
21,6,191.0
21,7,152.0
22,0,167.0
22,1,183.0
22,2,164.0
22,3,183.0
22,4,161.0
22,5,177.0
22,6,191.0
22,7,169.0
23,0,199.0
23,1,210.0
23,2,193.0
23,3,197.0
23,4,161.0
23,5,174.0
23,6,200.0
23,7,179.0
