hour,day,value
0,0,208.0
0,1,276.0
0,2,248.0
0,3,269.0
0,4,209.0
0,5,258.0
0,6,231.0
0,7,263.0
1,0,145.0
1,1,221.0
1,2,199.0
1,3,225.0
1,4,173.0
1,5,227.0
1,6,209.0
1,7,220.0
2,0,179.0
2,1,139.0
2,2,175.0
2,3,151.0
2,4,128.0
2,5,165.0
2,6,130.0
2,7,146.0
3,0,81.0
3,1,77.0
3,2,107.0
3,3,97.0
3,4,91.0
3,5,102.0
3,6,96.0
3,7,101.0
4,0,59.0
4,1,58.0
4,2,51.0
4,3,56.0
4,4,78.0
4,5,75.0
4,6,39.0
4,7,70.0
5,0,41.0
5,1,36.0
5,2,57.0
5,3,44.0
5,4,36.0
5,5,42.0
5,6,42.0
5,7,44.0
6,0,52.0
6,1,30.0
6,2,33.0
6,3,35.0
6,4,27.0
6,5,41.0
6,6,34.0
6,7,41.0
7,0,46.0
7,1,58.0
7,2,38.0
7,3,36.0
7,4,35.0
7,5,43.0
7,6,36.0
7,7,40.0
8,0,68.0
8,1,65.0
8,2,51.0
8,3,51.0
8,4,51.0
8,5,59.0
8,6,62.0
8,7,64.0
9,0,95.0
9,1,89.0
9,2,62.0
9,3,83.0
9,4,73.0
9,5,75.0
9,6,76.0
9,7,86.0
10,0,109.0
10,1,115.0
10,2,96.0
10,3,99.0
10,4,125.0
10,5,120.0
10,6,98.0
10,7,117.0
11,0,167.0
11,1,163.0
11,2,130.0
11,3,116.0
11,4,149.0
11,5,127.0
11,6,128.0
11,7,156.0
12,0,184.0
12,1,182.0
12,2,177.0
12,3,167.0
12,4,163.0
12,5,150.0
12,6,172.0
12,7,158.0
13,0,194.0
13,1,190.0
13,2,185.0
13,3,184.0
13,4,240.0
13,5,145.0
13,6,187.0
13,7,152.0
14,0,199.0
14,1,203.0
14,2,212.0
14,3,181.0
14,4,216.0
14,5,162.0
14,6,177.0
14,7,170.0
15,0,194.0
15,1,153.0
15,2,183.0
15,3,261.0
15,4,215.0
15,5,174.0
15,6,201.0
15,7,202.0
16,0,170.0
16,1,188.0
16,2,199.0
16,3,199.0
16,4,194.0
16,5,185.0
16,6,176.0
16,7,156.0
17,0,165.0
17,1,159.0
17,2,168.0
17,3,239.0
17,4,184.0
17,5,147.0
17,6,194.0
17,7,143.0
18,0,215.0
18,1,177.0
18,2,166.0
18,3,232.0
18,4,170.0
18,5,176.0
18,6,161.0
18,7,178.0
19,0,235.0
19,1,188.0
19,2,181.0
19,3,223.0
19,4,178.0
19,5,184.0
19,6,190.0
19,7,179.0
20,0,221.0
20,1,191.0
20,2,199.0
20,3,258.0
20,4,200.0
20,5,182.0
20,6,224.0
20,7,160.0
21,0,223.0
21,1,194.0
21,2,181.0
21,3,231.0
21,4,222.0
21,5,199.0
21,6,214.0
21,7,183.0
22,0,248.0
22,1,220.0
22,2,233.0
22,3,212.0
22,4,261.0
22,5,238.0
22,6,202.0
22,7,216.0
23,0,230.0
23,1,235.0
23,2,220.0
23,3,237.0
23,4,247.0
23,5,205.0
23,6,248.0
23,7,179.0
