hour,day,value
0,0,17.0
0,1,14.0
0,2,14.0
0,3,19.0
0,4,15.0
0,5,18.0
0,6,11.0
0,7,15.0
1,0,5.0
1,1,19.0
1,2,14.0
1,3,15.0
1,4,12.0
1,5,18.0
1,6,14.0
1,7,13.0
2,0,5.0
2,1,9.0
2,2,14.0
2,3,14.0
2,4,14.0
2,5,11.0
2,6,10.0
2,7,11.0
3,0,7.0
3,1,5.0
3,2,10.0
3,3,7.0
3,4,4.0
3,5,5.0
3,6,9.0
3,7,9.0
4,0,7.0
4,1,0.0
4,2,10.0
4,3,5.0
4,4,5.0
4,5,2.0
4,6,4.0
4,7,7.0
5,0,3.0
5,1,0.0
5,2,4.0
5,3,5.0
5,4,5.0
5,5,1.0
5,6,7.0
5,7,4.0
6,0,3.0
6,1,1.0
6,2,2.0
6,3,2.0
6,4,2.0
6,5,5.0
6,6,0.0
6,7,4.0
7,0,0.0
7,1,4.0
7,2,2.0
7,3,2.0
7,4,2.0
7,5,3.0
7,6,4.0
7,7,3.0
8,0,5.0
8,1,9.0
8,2,9.0
8,3,3.0
8,4,5.0
8,5,3.0
8,6,4.0
8,7,6.0
9,0,7.0
9,1,11.0
9,2,2.0
9,3,6.0
9,4,6.0
9,5,6.0
9,6,9.0
9,7,6.0
10,0,10.0
10,1,11.0
10,2,10.0
10,3,6.0
10,4,9.0
10,5,11.0
10,6,4.0
10,7,8.0
11,0,15.0
11,1,6.0
11,2,6.0
11,3,11.0
11,4,9.0
11,5,6.0
11,6,18.0
11,7,5.0
12,0,6.0
12,1,12.0
12,2,11.0
12,3,11.0
12,4,14.0
12,5,10.0
12,6,16.0
12,7,13.0
13,0,20.0
13,1,8.0
13,2,13.0
13,3,18.0
13,4,11.0
13,5,11.0
13,6,19.0
13,7,8.0
14,0,24.0
14,1,14.0
14,2,10.0
14,3,12.0
14,4,14.0
14,5,8.0
14,6,18.0
14,7,15.0
15,0,19.0
15,1,11.0
15,2,16.0
15,3,14.0
15,4,19.0
15,5,17.0
15,6,11.0
15,7,16.0
16,0,8.0
16,1,16.0
16,2,11.0
16,3,14.0
16,4,15.0
16,5,14.0
16,6,10.0
16,7,7.0
17,0,10.0
17,1,13.0
17,2,9.0
17,3,15.0
17,4,11.0
17,5,11.0
17,6,15.0
17,7,11.0
18,0,16.0
18,1,20.0
18,2,10.0
18,3,12.0
18,4,13.0
18,5,18.0
18,6,12.0
18,7,15.0
19,0,8.0
19,1,12.0
19,2,7.0
19,3,14.0
19,4,6.0
19,5,9.0
19,6,11.0
19,7,14.0
20,0,15.0
20,1,11.0
20,2,14.0
20,3,11.0
20,4,17.0
20,5,9.0
20,6,14.0
20,7,14.0
21,0,13.0
21,1,16.0
21,2,13.0
21,3,15.0
21,4,12.0
21,5,13.0
21,6,12.0
21,7,11.0
22,0,9.0
22,1,13.0
22,2,18.0
22,3,18.0
22,4,23.0
22,5,19.0
22,6,15.0
22,7,19.0
23,0,12.0
23,1,12.0
23,2,24.0
23,3,17.0
23,4,22.0
23,5,16.0
23,6,15.0
23,7,15.0
